ts_unix,pod,cpu_m,mem_mi
1783887148,processor-5dfd97546d-726l4,145,35
1783887148,processor-5dfd97546d-mbjkx,259,34
1783887148,processor-5dfd97546d-sxt56,120,34
1783887148,processor-5dfd97546d-xnzkv,121,34
1783887151,processor-5dfd97546d-726l4,549,35
1783887151,processor-5dfd97546d-mbjkx,579,34
1783887151,processor-5dfd97546d-sxt56,427,34
1783887151,processor-5dfd97546d-xnzkv,512,34
1783887153,processor-5dfd97546d-726l4,549,35
1783887153,processor-5dfd97546d-mbjkx,579,34
1783887153,processor-5dfd97546d-sxt56,427,34
1783887153,processor-5dfd97546d-xnzkv,512,34
1783887155,processor-5dfd97546d-726l4,549,35
1783887155,processor-5dfd97546d-mbjkx,579,34
1783887155,processor-5dfd97546d-sxt56,427,34
1783887155,processor-5dfd97546d-xnzkv,512,34
1783887157,processor-5dfd97546d-726l4,549,35
1783887157,processor-5dfd97546d-mbjkx,579,34
1783887157,processor-5dfd97546d-sxt56,427,34
1783887157,processor-5dfd97546d-xnzkv,512,34
1783887160,processor-5dfd97546d-726l4,549,35
1783887160,processor-5dfd97546d-mbjkx,579,34
1783887160,processor-5dfd97546d-sxt56,427,34
1783887160,processor-5dfd97546d-xnzkv,512,34
1783887162,processor-5dfd97546d-726l4,549,35
1783887162,processor-5dfd97546d-mbjkx,579,34
1783887162,processor-5dfd97546d-sxt56,427,34
1783887162,processor-5dfd97546d-xnzkv,512,34
1783887164,processor-5dfd97546d-726l4,296,35
1783887164,processor-5dfd97546d-mbjkx,267,34
1783887164,processor-5dfd97546d-sxt56,394,34
1783887164,processor-5dfd97546d-xnzkv,491,34
1783887166,processor-5dfd97546d-726l4,296,35
1783887166,processor-5dfd97546d-mbjkx,267,34
1783887166,processor-5dfd97546d-sxt56,394,34
1783887166,processor-5dfd97546d-xnzkv,491,34
1783887168,processor-5dfd97546d-726l4,296,35
1783887168,processor-5dfd97546d-mbjkx,267,34
1783887168,processor-5dfd97546d-sxt56,394,34
1783887168,processor-5dfd97546d-xnzkv,491,34
1783887170,processor-5dfd97546d-726l4,296,35
1783887170,processor-5dfd97546d-mbjkx,267,34
1783887170,processor-5dfd97546d-sxt56,394,34
1783887170,processor-5dfd97546d-xnzkv,491,34
1783887172,processor-5dfd97546d-726l4,296,35
1783887172,processor-5dfd97546d-mbjkx,267,34
1783887172,processor-5dfd97546d-sxt56,394,34
1783887172,processor-5dfd97546d-xnzkv,491,34
1783887175,processor-5dfd97546d-726l4,296,35
1783887175,processor-5dfd97546d-mbjkx,267,34
1783887175,processor-5dfd97546d-sxt56,394,34
1783887175,processor-5dfd97546d-xnzkv,491,34
1783887178,processor-5dfd97546d-726l4,296,35
1783887178,processor-5dfd97546d-mbjkx,267,34
1783887178,processor-5dfd97546d-sxt56,394,34
1783887178,processor-5dfd97546d-xnzkv,491,34
1783887180,processor-5dfd97546d-726l4,81,35
1783887180,processor-5dfd97546d-mbjkx,79,34
1783887180,processor-5dfd97546d-sxt56,81,34
1783887180,processor-5dfd97546d-xnzkv,79,34
1783887182,processor-5dfd97546d-726l4,81,35
1783887182,processor-5dfd97546d-mbjkx,79,34
1783887182,processor-5dfd97546d-sxt56,81,34
1783887182,processor-5dfd97546d-xnzkv,79,34
1783887185,processor-5dfd97546d-726l4,81,35
1783887185,processor-5dfd97546d-mbjkx,79,34
1783887185,processor-5dfd97546d-sxt56,81,34
1783887185,processor-5dfd97546d-xnzkv,79,34
1783887187,processor-5dfd97546d-726l4,81,35
1783887187,processor-5dfd97546d-mbjkx,79,34
1783887187,processor-5dfd97546d-sxt56,81,34
1783887187,processor-5dfd97546d-xnzkv,79,34
1783887189,processor-5dfd97546d-726l4,81,35
1783887189,processor-5dfd97546d-mbjkx,79,34
1783887189,processor-5dfd97546d-sxt56,81,34
1783887189,processor-5dfd97546d-xnzkv,79,34
1783887191,processor-5dfd97546d-726l4,81,35
1783887191,processor-5dfd97546d-mbjkx,79,34
1783887191,processor-5dfd97546d-sxt56,81,34
1783887191,processor-5dfd97546d-xnzkv,79,34
1783887193,processor-5dfd97546d-726l4,81,35
1783887193,processor-5dfd97546d-mbjkx,79,34
1783887193,processor-5dfd97546d-sxt56,81,34
1783887193,processor-5dfd97546d-xnzkv,79,34
1783887196,processor-5dfd97546d-726l4,84,35
1783887196,processor-5dfd97546d-mbjkx,80,34
1783887196,processor-5dfd97546d-sxt56,85,34
1783887196,processor-5dfd97546d-xnzkv,78,34
1783887198,processor-5dfd97546d-726l4,84,35
1783887198,processor-5dfd97546d-mbjkx,80,34
1783887198,processor-5dfd97546d-sxt56,85,34
1783887198,processor-5dfd97546d-xnzkv,78,34
1783887200,processor-5dfd97546d-726l4,84,35
