run,replicas,athletes,target_rate_msg_s,offered,delivered,loss_pct,consumed,acked,write_errors,thr_acked_s,lat_transport_mean_ms,lat_transport_p95_ms,lat_transport_p99_ms,lat_transport_p95worst_ms,lat_persist_mean_ms,lat_persist_p95_ms,lat_persist_p99_ms,lat_persist_p95worst_ms,cpu_peak_m,cpu_mean_m,mem_peak_mi,mem_mean_mi
R1_N1,1,1,50,3942,3941,0.03,3942,3941,0,49.1,61.62,63.19,66.69,117.13,5494.78,1704.03,1725.83,270520.56,103.0,70.5,34.0,34.0
R1_N16,1,16,800,63990,62194,2.81,60554,60266,0,667.6,3345.55,1241.4,1269.94,13756.54,414.97,654.56,699.97,9705.55,668.0,519.3,34.0,34.0
R1_N2,1,2,100,7945,7944,0.01,7945,7944,0,96.6,61.83,64.69,68.86,67.27,917.46,1108.04,1127.89,6138.23,149.0,122.0,34.0,34.0
R1_N24,1,24,1200,96000,39199,59.17,40713,40804,0,433.0,20808.51,23782.42,23849.01,30375.87,478.96,737.86,782.86,1913.13,967.0,527.0,34.0,34.0
R1_N32,1,32,1600,127721,25439,80.08,27140,27387,0,278.7,32834.25,34685.82,34804.54,59906.53,595.56,1056.95,1119.84,1841.69,728.0,391.0,34.0,34.0
R1_N4,1,4,200,15885,15884,0.01,15885,15884,0,188.6,64.63,68.7,71.68,71.58,608.23,815.22,836.63,5875.08,207.0,179.3,34.0,34.0
R1_N40,1,40,2000,159787,16614,89.6,16629,16614,0,162.5,52511.14,44230.73,44316.62,82365.7,787.1,1820.59,1929.68,4118.6,885.0,272.6,34.0,34.0
R1_N8,1,8,400,32007,32007,0.0,32007,32007,0,362.0,73.15,75.52,79.47,447.12,462.6,676.39,696.31,6782.43,349.0,288.6,34.0,34.0
R2_N1,2,1,50,3942,3942,0.0,3942,3942,0,48.7,104.14,95.03,98.31,739.81,2361.55,2830.66,2882.78,18819.17,705.0,234.5,68.0,63.0
R2_N16,2,16,800,63990,53795,15.93,50691,50496,0,540.4,19999.84,20757.17,20797.69,31990.49,625.14,902.03,1009.89,11638.21,876.0,632.0,68.0,68.0
R2_N2,2,2,100,7945,7941,0.05,7945,7941,0,96.1,89.2,98.63,103.34,130.71,1257.23,1444.88,1472.39,9184.19,262.0,219.2,68.0,67.7
R2_N24,2,24,1200,96000,48189,49.8,51280,51305,0,538.0,31887.42,31678.9,31754.17,47745.74,672.15,943.69,1049.39,1950.81,1322.0,804.5,68.0,68.0
R2_N32,2,32,1600,127721,31218,75.56,31924,31586,0,311.3,56122.36,47470.32,47520.9,82136.3,1075.93,1891.18,1970.91,6143.34,1326.0,496.9,68.0,68.0
R2_N4,2,4,200,15885,15872,0.08,15885,15872,0,186.1,107.15,106.06,112.28,1016.6,825.63,1354.12,1435.72,7233.68,427.0,341.6,68.0,67.3
R2_N40,2,40,2000,159787,32697,79.54,33321,34006,0,332.2,51936.52,42552.18,42680.69,78812.27,1103.72,2128.82,2190.39,4073.22,1564.0,594.7,68.0,68.0
R2_N8,2,8,400,32007,31985,0.07,32007,31985,0,361.8,116.74,125.53,137.33,582.97,643.98,985.92,1008.6,8807.59,742.0,615.2,68.0,67.9
R4_N1,4,1,50,3942,3939,0.08,3942,3939,0,49.0,103.76,114.06,115.0,230.36,5999.15,4148.85,4192.31,26058.61,581.0,352.3,135.0,123.0
R4_N16,4,16,800,63990,63927,0.1,63990,63927,0,705.2,5562.05,5598.22,5615.14,10527.19,898.88,1086.39,1140.99,13586.91,1179.0,939.2,137.0,136.5
R4_N2,4,2,100,7945,7918,0.34,7945,7918,0,97.7,166.81,120.47,127.25,1607.21,3382.1,4083.31,4115.04,19540.53,471.0,319.1,136.0,135.2
R4_N24,4,24,1200,96000,54974,42.74,48837,48235,0,509.4,34521.19,31097.63,31219.02,54255.33,1205.09,1345.14,1382.68,8400.48,1222.0,854.3,137.0,137.0
R4_N32,4,32,1600,127721,29793,76.67,45301,45096,0,458.3,75885.09,76227.61,76228.78,89784.72,1482.11,1713.76,1770.49,6396.1,1734.0,870.6,137.0,137.0
R4_N4,4,4,200,15885,15877,0.05,15885,15877,0,188.2,110.32,124.58,131.22,177.45,1911.72,2421.17,2442.73,13377.38,480.0,403.1,135.0,135.0
R4_N40,4,40,2000,159787,34733,78.26,42237,41521,0,357.0,88909.49,81106.8,81372.39,101817.88,2114.2,2691.4,2734.08,9366.74,2067.0,728.7,138.0,137.1
R4_N8,4,8,400,32007,31957,0.16,32007,31957,0,359.5,125.45,141.49,155.09,441.28,1211.08,1515.7,1547.89,11600.91,842.0,674.5,136.0,135.2
