t,caudal_msg_s,cpu_total_m,replicas,desired,caudal_cmd,cpu_cmd
0.0,0.0,2,1,1,1,1
5.0,54.06,2,1,1,1,1
10.0,54.06,64,1,1,1,1
15.0,246.137,64,1,1,1,1
20.0,246.137,64,1,1,1,1
25.0,401.898,285,1,2,2,2
30.0,401.898,285,2,2,2,2
35.0,401.898,285,2,2,2,2
40.0,526.329,866,2,2,2,4
45.0,526.329,866,2,2,2,4
50.0,652.18,866,2,2,2,4
55.0,652.18,463,4,4,2,4
60.0,737.214,463,4,4,2,4
65.0,737.214,463,4,4,2,4
70.0,787.157,1072,4,4,2,4
75.0,787.157,1072,4,4,2,4
80.0,787.157,1072,4,4,2,4
85.0,851.013,581,4,4,3,4
90.0,851.013,581,4,4,3,4
95.0,914.984,581,4,4,3,4
100.0,914.984,561,4,4,3,4
105.0,962.681,561,4,4,3,4
110.0,962.681,561,4,4,3,4
115.0,1002.48,551,4,4,3,4
120.0,1002.48,551,4,4,3,4
125.0,1035.795,551,4,4,3,4
130.0,1035.795,669,4,4,3,4
135.0,1035.795,669,4,4,3,4
140.0,1058.047,669,4,4,3,4
145.0,1058.047,771,4,4,3,4
150.0,1052.877,771,4,4,3,4
155.0,1052.877,771,4,4,3,4
160.0,1077.384,752,4,4,3,4
165.0,1077.384,752,4,4,3,4
170.0,1096.918,689,4,4,3,4
175.0,1096.918,689,4,4,3,4
180.0,1115.206,689,4,4,3,4
185.0,1115.206,661,4,4,3,4
190.0,1115.206,661,4,4,3,4
195.0,1129.379,661,4,4,3,4
200.0,1129.379,661,4,4,3,4
205.0,1141.239,649,4,4,3,4
210.0,1141.239,649,4,4,3,4
215.0,1116.956,649,4,4,3,4
220.0,1116.956,796,4,4,3,4
225.0,1130.897,796,4,4,3,4
230.0,1130.897,796,4,4,3,4
235.0,1142.305,760,4,4,3,4
