ts,ready_replicas,keda_metric,cpu_pct
20:47:58,4,9608m,1
20:48:03,4,9608m,1
20:48:09,4,9608m,1
20:48:15,4,22008m,16
20:48:20,4,22008m,16
20:48:26,4,22008m,16
20:48:32,4,76732m,59
20:48:37,4,76732m,59
20:48:43,4,97293m,58
20:48:48,4,97293m,58
20:48:54,4,97293m,58
20:49:01,4,128798m,60
20:49:07,4,128798m,60
20:49:12,4,128798m,60
20:49:18,4,140725m,60
20:49:24,4,140725m,60
20:49:29,4,140725m,60
20:49:36,4,150807m,50
20:49:41,4,150807m,50
20:49:46,4,165838m,58
20:49:52,4,165838m,58
20:49:58,4,165838m,58
20:50:03,4,171655m,63
20:50:09,4,171655m,63
20:50:15,4,171655m,63
20:50:20,4,180229m,63
20:50:26,4,180229m,63
20:50:31,4,180229m,63
20:50:37,4,183541m,62
20:50:42,4,183541m,62
20:50:48,4,183541m,62
20:50:53,4,188593m,61
20:50:59,4,188593m,61
20:51:04,4,190504m,67
20:51:10,4,190504m,67
20:51:16,4,190504m,67
20:51:21,4,192095m,67
20:51:27,4,192095m,67
20:51:33,4,192095m,67
20:51:38,4,153884m,59
20:51:44,4,153884m,59
20:51:50,4,128107m,34
