ts_unix,pod,cpu_m,mem_mi
1786049278,processor-86bcb8fdc5-8lbsm,3,35
1786049278,processor-86bcb8fdc5-gv7ph,3,35
1786049278,processor-86bcb8fdc5-njq8n,3,35
1786049278,processor-86bcb8fdc5-p2tcv,3,33
1786049283,processor-86bcb8fdc5-8lbsm,3,35
1786049283,processor-86bcb8fdc5-gv7ph,3,35
1786049283,processor-86bcb8fdc5-njq8n,3,35
1786049283,processor-86bcb8fdc5-p2tcv,3,33
1786049288,processor-86bcb8fdc5-8lbsm,3,35
1786049288,processor-86bcb8fdc5-gv7ph,3,35
1786049288,processor-86bcb8fdc5-njq8n,3,35
1786049288,processor-86bcb8fdc5-p2tcv,3,33
1786049294,processor-86bcb8fdc5-8lbsm,36,35
1786049294,processor-86bcb8fdc5-gv7ph,59,35
1786049294,processor-86bcb8fdc5-njq8n,3,35
1786049294,processor-86bcb8fdc5-p2tcv,35,34
1786049299,processor-86bcb8fdc5-8lbsm,36,35
1786049299,processor-86bcb8fdc5-gv7ph,59,35
1786049299,processor-86bcb8fdc5-njq8n,3,35
1786049299,processor-86bcb8fdc5-p2tcv,35,34
1786049304,processor-86bcb8fdc5-8lbsm,123,35
1786049304,processor-86bcb8fdc5-gv7ph,125,35
1786049304,processor-86bcb8fdc5-njq8n,104,35
1786049304,processor-86bcb8fdc5-p2tcv,126,34
1786049310,processor-86bcb8fdc5-8lbsm,123,35
1786049310,processor-86bcb8fdc5-gv7ph,125,35
1786049310,processor-86bcb8fdc5-njq8n,104,35
1786049310,processor-86bcb8fdc5-p2tcv,126,34
1786049315,processor-86bcb8fdc5-8lbsm,123,35
1786049315,processor-86bcb8fdc5-gv7ph,125,35
1786049315,processor-86bcb8fdc5-njq8n,104,35
1786049315,processor-86bcb8fdc5-p2tcv,126,34
1786049321,processor-86bcb8fdc5-8lbsm,118,35
1786049321,processor-86bcb8fdc5-gv7ph,118,35
1786049321,processor-86bcb8fdc5-njq8n,116,35
1786049321,processor-86bcb8fdc5-p2tcv,117,34
1786049326,processor-86bcb8fdc5-8lbsm,118,35
1786049326,processor-86bcb8fdc5-gv7ph,118,35
1786049326,processor-86bcb8fdc5-njq8n,116,35
1786049326,processor-86bcb8fdc5-p2tcv,117,34
1786049332,processor-86bcb8fdc5-8lbsm,118,35
1786049332,processor-86bcb8fdc5-gv7ph,118,35
1786049332,processor-86bcb8fdc5-njq8n,116,35
1786049332,processor-86bcb8fdc5-p2tcv,117,34
1786049337,processor-86bcb8fdc5-8lbsm,118,35
1786049337,processor-86bcb8fdc5-gv7ph,126,35
1786049337,processor-86bcb8fdc5-njq8n,116,35
1786049337,processor-86bcb8fdc5-p2tcv,126,34
1786049343,processor-86bcb8fdc5-8lbsm,118,35
1786049343,processor-86bcb8fdc5-gv7ph,126,35
1786049343,processor-86bcb8fdc5-njq8n,116,35
1786049343,processor-86bcb8fdc5-p2tcv,126,34
1786049348,processor-86bcb8fdc5-8lbsm,118,35
1786049348,processor-86bcb8fdc5-gv7ph,126,35
1786049348,processor-86bcb8fdc5-njq8n,116,35
1786049348,processor-86bcb8fdc5-p2tcv,126,34
1786049354,processor-86bcb8fdc5-8lbsm,127,35
1786049354,processor-86bcb8fdc5-gv7ph,113,35
1786049354,processor-86bcb8fdc5-njq8n,126,35
1786049354,processor-86bcb8fdc5-p2tcv,114,34
1786049360,processor-86bcb8fdc5-8lbsm,127,35
1786049360,processor-86bcb8fdc5-gv7ph,113,35
1786049360,processor-86bcb8fdc5-njq8n,126,35
1786049360,processor-86bcb8fdc5-p2tcv,114,34
1786049365,processor-86bcb8fdc5-8lbsm,102,35
1786049365,processor-86bcb8fdc5-gv7ph,98,35
1786049365,processor-86bcb8fdc5-njq8n,101,35
1786049365,processor-86bcb8fdc5-p2tcv,105,34
1786049371,processor-86bcb8fdc5-8lbsm,102,35
1786049371,processor-86bcb8fdc5-gv7ph,98,35
1786049371,processor-86bcb8fdc5-njq8n,101,35
1786049371,processor-86bcb8fdc5-p2tcv,105,34
1786049376,processor-86bcb8fdc5-8lbsm,102,35
1786049376,processor-86bcb8fdc5-gv7ph,98,35
1786049376,processor-86bcb8fdc5-njq8n,101,35
1786049376,processor-86bcb8fdc5-p2tcv,105,34
1786049381,processor-86bcb8fdc5-8lbsm,114,35
1786049381,processor-86bcb8fdc5-gv7ph,98,35
1786049381,processor-86bcb8fdc5-njq8n,125,35
1786049381,processor-86bcb8fdc5-p2tcv,131,34
1786049386,processor-86bcb8fdc5-8lbsm,114,35
1786049386,processor-86bcb8fdc5-gv7ph,98,35
1786049386,processor-86bcb8fdc5-njq8n,125,35
1786049386,processor-86bcb8fdc5-p2tcv,131,34
1786049392,processor-86bcb8fdc5-8lbsm,114,35
1786049392,processor-86bcb8fdc5-gv7ph,98,35
1786049392,processor-86bcb8fdc5-njq8n,125,35
1786049392,processor-86bcb8fdc5-p2tcv,131,34
1786049397,processor-86bcb8fdc5-8lbsm,135,35
1786049397,processor-86bcb8fdc5-gv7ph,131,35
1786049397,processor-86bcb8fdc5-njq8n,119,35
1786049397,processor-86bcb8fdc5-p2tcv,126,34
1786049402,processor-86bcb8fdc5-8lbsm,135,35
1786049402,processor-86bcb8fdc5-gv7ph,131,35
1786049402,processor-86bcb8fdc5-njq8n,119,35
1786049402,processor-86bcb8fdc5-p2tcv,126,34
1786049408,processor-86bcb8fdc5-8lbsm,135,35
1786049408,processor-86bcb8fdc5-gv7ph,131,35
1786049408,processor-86bcb8fdc5-njq8n,119,35
1786049408,processor-86bcb8fdc5-p2tcv,126,34
1786049413,processor-86bcb8fdc5-8lbsm,125,35
1786049413,processor-86bcb8fdc5-gv7ph,131,35
1786049413,processor-86bcb8fdc5-njq8n,129,35
1786049413,processor-86bcb8fdc5-p2tcv,123,34
1786049418,processor-86bcb8fdc5-8lbsm,125,35
1786049418,processor-86bcb8fdc5-gv7ph,131,35
1786049418,processor-86bcb8fdc5-njq8n,129,35
1786049418,processor-86bcb8fdc5-p2tcv,123,34
1786049424,processor-86bcb8fdc5-8lbsm,133,35
