ts,ready_replicas,keda_metric,cpu_pct
20:54:03,4,17051m,1
20:54:10,4,14195m,2
20:54:15,4,14195m,2
20:54:20,4,14195m,2
20:54:26,4,48496m,2
20:54:32,4,48496m,2
20:54:38,4,48496m,2
20:54:44,3,73916m,37
20:54:51,3,73916m,37
20:54:56,3,150180m,59
20:55:03,3,150180m,59
20:55:08,3,150180m,59
20:55:15,3,169515m,79
20:55:20,3,169515m,79
20:55:26,3,199519m,73
20:55:32,3,199519m,73
20:55:37,3,199519m,73
20:55:43,3,210645m,83
20:55:49,3,210645m,83
20:55:57,4,210645m,83
20:56:02,4,170830m,66
20:56:07,4,170830m,66
20:56:13,4,170830m,66
20:56:19,4,175717m,53
20:56:24,4,175717m,53
20:56:30,4,183019m,60
20:56:38,4,183019m,60
20:56:43,4,183019m,60
20:56:49,4,186103m,58
20:56:55,4,186103m,58
20:57:00,4,186103m,58
20:57:06,4,190296m,54
20:57:12,4,190296m,54
20:57:17,4,190296m,54
20:57:23,4,191922m,57
20:57:31,4,191922m,57
20:57:36,4,189285m,57
20:57:43,4,189285m,57
20:57:48,4,189285m,57
20:57:54,4,133829m,76
