ts_unix,pod,cpu_m,mem_mi
1786049643,processor-86bcb8fdc5-8lbsm,3,35
1786049643,processor-86bcb8fdc5-gv7ph,7,35
1786049643,processor-86bcb8fdc5-njq8n,4,35
1786049643,processor-86bcb8fdc5-p2tcv,3,34
1786049649,processor-86bcb8fdc5-8lbsm,3,35
1786049649,processor-86bcb8fdc5-gv7ph,7,35
1786049649,processor-86bcb8fdc5-njq8n,4,35
1786049649,processor-86bcb8fdc5-p2tcv,3,34
1786049654,processor-86bcb8fdc5-8lbsm,3,35
1786049654,processor-86bcb8fdc5-gv7ph,3,35
1786049654,processor-86bcb8fdc5-njq8n,3,35
1786049654,processor-86bcb8fdc5-p2tcv,8,34
1786049659,processor-86bcb8fdc5-8lbsm,3,35
1786049659,processor-86bcb8fdc5-gv7ph,3,35
1786049659,processor-86bcb8fdc5-njq8n,3,35
1786049659,processor-86bcb8fdc5-p2tcv,8,34
1786049664,processor-86bcb8fdc5-8lbsm,28,35
1786049664,processor-86bcb8fdc5-gv7ph,79,35
1786049664,processor-86bcb8fdc5-njq8n,91,35
1786049664,processor-86bcb8fdc5-p2tcv,100,34
1786049670,processor-86bcb8fdc5-8lbsm,28,35
1786049670,processor-86bcb8fdc5-gv7ph,79,35
1786049670,processor-86bcb8fdc5-njq8n,91,35
1786049670,processor-86bcb8fdc5-p2tcv,100,34
1786049675,processor-86bcb8fdc5-8lbsm,28,35
1786049675,processor-86bcb8fdc5-gv7ph,79,35
1786049675,processor-86bcb8fdc5-njq8n,91,35
1786049675,processor-86bcb8fdc5-p2tcv,100,34
1786049681,processor-86bcb8fdc5-8lbsm,113,35
1786049681,processor-86bcb8fdc5-gv7ph,118,35
1786049681,processor-86bcb8fdc5-njq8n,120,35
1786049681,processor-86bcb8fdc5-p2tcv,123,34
1786049686,processor-86bcb8fdc5-gv7ph,118,35
1786049686,processor-86bcb8fdc5-njq8n,120,35
1786049686,processor-86bcb8fdc5-p2tcv,123,34
1786049692,processor-86bcb8fdc5-gv7ph,118,35
1786049692,processor-86bcb8fdc5-njq8n,120,35
1786049692,processor-86bcb8fdc5-p2tcv,123,34
1786049697,processor-86bcb8fdc5-gv7ph,116,35
1786049697,processor-86bcb8fdc5-njq8n,120,35
1786049697,processor-86bcb8fdc5-p2tcv,118,34
1786049703,processor-86bcb8fdc5-gv7ph,116,35
1786049703,processor-86bcb8fdc5-njq8n,120,35
1786049703,processor-86bcb8fdc5-p2tcv,118,34
1786049708,processor-86bcb8fdc5-gv7ph,116,35
1786049708,processor-86bcb8fdc5-njq8n,120,35
1786049708,processor-86bcb8fdc5-p2tcv,118,34
1786049713,processor-86bcb8fdc5-gv7ph,167,35
1786049713,processor-86bcb8fdc5-njq8n,142,35
1786049713,processor-86bcb8fdc5-p2tcv,167,34
1786049719,processor-86bcb8fdc5-gv7ph,167,35
1786049719,processor-86bcb8fdc5-njq8n,142,35
1786049719,processor-86bcb8fdc5-p2tcv,167,34
1786049724,processor-86bcb8fdc5-gv7ph,141,35
1786049724,processor-86bcb8fdc5-njq8n,155,35
1786049724,processor-86bcb8fdc5-p2tcv,143,34
1786049729,processor-86bcb8fdc5-gv7ph,141,35
1786049729,processor-86bcb8fdc5-njq8n,155,35
1786049729,processor-86bcb8fdc5-p2tcv,143,34
1786049734,processor-86bcb8fdc5-gv7ph,141,35
1786049734,processor-86bcb8fdc5-njq8n,155,35
1786049734,processor-86bcb8fdc5-p2tcv,143,34
1786049740,processor-86bcb8fdc5-gv7ph,170,35
1786049740,processor-86bcb8fdc5-njq8n,169,35
1786049740,processor-86bcb8fdc5-p2tcv,164,34
1786049746,processor-86bcb8fdc5-gv7ph,170,35
1786049746,processor-86bcb8fdc5-njq8n,169,35
1786049746,processor-86bcb8fdc5-p2tcv,164,34
1786049753,processor-86bcb8fdc5-gv7ph,170,35
1786049753,processor-86bcb8fdc5-njq8n,169,35
1786049753,processor-86bcb8fdc5-p2tcv,164,34
1786049758,processor-86bcb8fdc5-gv7ph,155,35
1786049758,processor-86bcb8fdc5-njq8n,124,35
1786049758,processor-86bcb8fdc5-p2tcv,122,34
1786049764,processor-86bcb8fdc5-gv7ph,155,35
1786049764,processor-86bcb8fdc5-njq8n,124,35
1786049764,processor-86bcb8fdc5-p2tcv,122,34
1786049769,processor-86bcb8fdc5-5r4t8,209,36
1786049769,processor-86bcb8fdc5-gv7ph,100,35
1786049769,processor-86bcb8fdc5-njq8n,124,35
1786049769,processor-86bcb8fdc5-p2tcv,98,34
1786049775,processor-86bcb8fdc5-5r4t8,209,36
1786049775,processor-86bcb8fdc5-gv7ph,100,35
1786049775,processor-86bcb8fdc5-njq8n,124,35
1786049775,processor-86bcb8fdc5-p2tcv,98,34
1786049780,processor-86bcb8fdc5-5r4t8,209,36
1786049780,processor-86bcb8fdc5-gv7ph,100,35
1786049780,processor-86bcb8fdc5-njq8n,124,35
1786049780,processor-86bcb8fdc5-p2tcv,98,34
1786049785,processor-86bcb8fdc5-5r4t8,129,36
1786049785,processor-86bcb8fdc5-gv7ph,115,35
1786049785,processor-86bcb8fdc5-njq8n,113,35
1786049785,processor-86bcb8fdc5-p2tcv,124,34
1786049790,processor-86bcb8fdc5-5r4t8,129,36
1786049790,processor-86bcb8fdc5-gv7ph,115,35
1786049790,processor-86bcb8fdc5-njq8n,113,35
1786049790,processor-86bcb8fdc5-p2tcv,124,34
1786049797,processor-86bcb8fdc5-5r4t8,129,36
1786049797,processor-86bcb8fdc5-gv7ph,115,35
1786049797,processor-86bcb8fdc5-njq8n,113,35
1786049797,processor-86bcb8fdc5-p2tcv,124,34
1786049802,processor-86bcb8fdc5-5r4t8,121,36
1786049802,processor-86bcb8fdc5-gv7ph,118,35
1786049802,processor-86bcb8fdc5-njq8n,112,35
1786049802,processor-86bcb8fdc5-p2tcv,118,34
1786049807,processor-86bcb8fdc5-5r4t8,121,36
1786049807,processor-86bcb8fdc5-gv7ph,118,35
1786049807,processor-86bcb8fdc5-njq8n,112,35
1786049807,processor-86bcb8fdc5-p2tcv,118,34
1786049812,processor-86bcb8fdc5-5r4t8,121,36
1786049812,processor-86bcb8fdc5-gv7ph,118,35
1786049812,processor-86bcb8fdc5-njq8n,112,35
1786049812,processor-86bcb8fdc5-p2tcv,118,34
1786049818,processor-86bcb8fdc5-5r4t8,106,36
1786049818,processor-86bcb8fdc5-gv7ph,106,35
1786049818,processor-86bcb8fdc5-njq8n,112,35
1786049818,processor-86bcb8fdc5-p2tcv,109,34
1786049823,processor-86bcb8fdc5-5r4t8,106,36
1786049823,processor-86bcb8fdc5-gv7ph,106,35
1786049823,processor-86bcb8fdc5-njq8n,112,35
1786049823,processor-86bcb8fdc5-p2tcv,109,34
1786049829,processor-86bcb8fdc5-5r4t8,115,36
1786049829,processor-86bcb8fdc5-gv7ph,116,35
1786049829,processor-86bcb8fdc5-njq8n,110,35
1786049829,processor-86bcb8fdc5-p2tcv,119,34
1786049834,processor-86bcb8fdc5-5r4t8,115,36
1786049834,processor-86bcb8fdc5-gv7ph,116,35
1786049834,processor-86bcb8fdc5-njq8n,110,35
1786049834,processor-86bcb8fdc5-p2tcv,119,34
1786049839,processor-86bcb8fdc5-5r4t8,115,36
1786049839,processor-86bcb8fdc5-gv7ph,116,35
1786049839,processor-86bcb8fdc5-njq8n,110,35
1786049839,processor-86bcb8fdc5-p2tcv,119,34
1786049845,processor-86bcb8fdc5-5r4t8,121,36
1786049845,processor-86bcb8fdc5-gv7ph,106,35
1786049845,processor-86bcb8fdc5-njq8n,120,35
1786049845,processor-86bcb8fdc5-p2tcv,110,34
1786049850,processor-86bcb8fdc5-5r4t8,121,36
1786049850,processor-86bcb8fdc5-gv7ph,106,35
1786049850,processor-86bcb8fdc5-njq8n,120,35
1786049850,processor-86bcb8fdc5-p2tcv,110,34
1786049856,processor-86bcb8fdc5-5r4t8,121,36
1786049856,processor-86bcb8fdc5-gv7ph,106,35
1786049856,processor-86bcb8fdc5-njq8n,120,35
1786049856,processor-86bcb8fdc5-p2tcv,110,34
1786049862,processor-86bcb8fdc5-5r4t8,121,36
1786049862,processor-86bcb8fdc5-gv7ph,179,35
1786049862,processor-86bcb8fdc5-njq8n,120,35
1786049862,processor-86bcb8fdc5-p2tcv,194,34
1786049867,processor-86bcb8fdc5-5r4t8,121,36
1786049867,processor-86bcb8fdc5-gv7ph,179,35
1786049867,processor-86bcb8fdc5-njq8n,120,35
1786049867,processor-86bcb8fdc5-p2tcv,194,34
1786049872,processor-86bcb8fdc5-5r4t8,121,36
1786049872,processor-86bcb8fdc5-gv7ph,179,35
1786049872,processor-86bcb8fdc5-njq8n,120,35
1786049872,processor-86bcb8fdc5-p2tcv,194,34
1786049877,processor-86bcb8fdc5-5r4t8,68,36
1786049877,processor-86bcb8fdc5-gv7ph,29,35
1786049877,processor-86bcb8fdc5-njq8n,206,35
1786049877,processor-86bcb8fdc5-p2tcv,68,34
