ts,ready_replicas,keda_metric,cpu_pct
21:06:21,1,0,1
21:06:27,1,0,1
21:06:32,1,0,1
21:06:38,1,0,1
21:06:43,2,180219m,115
21:06:49,2,180219m,115
21:06:55,2,141996m,168
21:07:00,2,141996m,168
21:07:06,2,141996m,168
21:07:11,2,185214m,158
21:07:17,2,185214m,158
21:07:22,2,185214m,158
21:07:28,2,251359m,137
21:07:34,4,251359m,137
21:07:39,4,251359m,137
21:07:45,4,138027m,128
21:07:50,4,138027m,128
21:07:56,4,138027m,128
21:08:01,4,157045m,77
21:08:07,4,157045m,77
21:08:12,4,164240m,83
21:08:18,4,164240m,83
21:08:24,4,164240m,83
21:08:29,4,170227m,85
21:08:35,4,170227m,85
21:08:41,4,170227m,85
21:08:48,4,179369m,84
21:08:53,4,179369m,84
21:09:00,4,182832m,80
21:09:05,4,182832m,80
21:09:11,4,182832m,80
21:09:17,4,188116m,83
21:09:23,4,188116m,83
21:09:28,4,190084m,84
21:09:34,4,190084m,84
21:09:39,4,190084m,84
21:09:45,4,191760m,83
21:09:50,4,191760m,83
21:09:56,4,191760m,83
21:10:01,4,153767m,67
21:10:07,4,153767m,67
21:10:12,4,153767m,67
