ts_unix,pod,cpu_m,mem_mi
1786050381,processor-86bcb8fdc5-gv7ph,3,35
1786050387,processor-86bcb8fdc5-gv7ph,3,35
1786050392,processor-86bcb8fdc5-gv7ph,3,35
1786050397,processor-86bcb8fdc5-gv7ph,3,35
1786050402,processor-86bcb8fdc5-gv7ph,230,35
1786050408,processor-86bcb8fdc5-gv7ph,230,35
1786050413,processor-86bcb8fdc5-gv7ph,230,35
1786050418,processor-86bcb8fdc5-gv7ph,336,35
1786050418,processor-86bcb8fdc5-scfk7,367,34
1786050423,processor-86bcb8fdc5-gv7ph,336,35
1786050423,processor-86bcb8fdc5-scfk7,367,34
1786050428,processor-86bcb8fdc5-gv7ph,336,35
1786050428,processor-86bcb8fdc5-scfk7,367,34
1786050434,processor-86bcb8fdc5-gv7ph,317,35
1786050434,processor-86bcb8fdc5-scfk7,354,34
1786050439,processor-86bcb8fdc5-gv7ph,317,35
1786050439,processor-86bcb8fdc5-scfk7,354,34
1786050444,processor-86bcb8fdc5-gv7ph,310,35
1786050444,processor-86bcb8fdc5-scfk7,238,34
1786050449,processor-86bcb8fdc5-gv7ph,310,35
1786050449,processor-86bcb8fdc5-scfk7,238,34
1786050455,processor-86bcb8fdc5-gv7ph,310,35
1786050455,processor-86bcb8fdc5-scfk7,238,34
1786050460,processor-86bcb8fdc5-57tgb,350,34
1786050460,processor-86bcb8fdc5-9l55q,323,34
1786050460,processor-86bcb8fdc5-gv7ph,284,35
1786050460,processor-86bcb8fdc5-scfk7,231,34
1786050465,processor-86bcb8fdc5-57tgb,350,34
1786050465,processor-86bcb8fdc5-9l55q,323,34
1786050465,processor-86bcb8fdc5-gv7ph,284,35
1786050465,processor-86bcb8fdc5-scfk7,231,34
1786050471,processor-86bcb8fdc5-57tgb,350,34
1786050471,processor-86bcb8fdc5-9l55q,323,34
1786050471,processor-86bcb8fdc5-gv7ph,284,35
1786050471,processor-86bcb8fdc5-scfk7,231,34
1786050476,processor-86bcb8fdc5-57tgb,347,34
1786050476,processor-86bcb8fdc5-9l55q,155,34
1786050476,processor-86bcb8fdc5-gv7ph,152,35
1786050476,processor-86bcb8fdc5-scfk7,159,34
1786050481,processor-86bcb8fdc5-57tgb,347,34
1786050481,processor-86bcb8fdc5-9l55q,155,34
1786050481,processor-86bcb8fdc5-gv7ph,152,35
1786050481,processor-86bcb8fdc5-scfk7,159,34
1786050486,processor-86bcb8fdc5-57tgb,347,34
1786050486,processor-86bcb8fdc5-9l55q,155,34
1786050486,processor-86bcb8fdc5-gv7ph,152,35
1786050486,processor-86bcb8fdc5-scfk7,159,34
1786050491,processor-86bcb8fdc5-57tgb,193,34
1786050491,processor-86bcb8fdc5-9l55q,164,34
1786050491,processor-86bcb8fdc5-gv7ph,148,35
1786050491,processor-86bcb8fdc5-scfk7,163,34
1786050496,processor-86bcb8fdc5-57tgb,193,34
1786050496,processor-86bcb8fdc5-9l55q,164,34
1786050496,processor-86bcb8fdc5-gv7ph,148,35
1786050496,processor-86bcb8fdc5-scfk7,163,34
1786050502,processor-86bcb8fdc5-57tgb,193,34
1786050502,processor-86bcb8fdc5-9l55q,164,34
1786050502,processor-86bcb8fdc5-gv7ph,148,35
1786050502,processor-86bcb8fdc5-scfk7,163,34
1786050507,processor-86bcb8fdc5-57tgb,197,34
1786050507,processor-86bcb8fdc5-9l55q,164,34
1786050507,processor-86bcb8fdc5-gv7ph,155,35
1786050507,processor-86bcb8fdc5-scfk7,164,34
1786050512,processor-86bcb8fdc5-57tgb,197,34
1786050512,processor-86bcb8fdc5-9l55q,164,34
1786050512,processor-86bcb8fdc5-gv7ph,155,35
1786050512,processor-86bcb8fdc5-scfk7,164,34
1786050517,processor-86bcb8fdc5-57tgb,197,34
1786050517,processor-86bcb8fdc5-9l55q,164,34
1786050517,processor-86bcb8fdc5-gv7ph,155,35
1786050517,processor-86bcb8fdc5-scfk7,164,34
1786050522,processor-86bcb8fdc5-57tgb,200,34
1786050522,processor-86bcb8fdc5-9l55q,163,34
1786050522,processor-86bcb8fdc5-gv7ph,150,35
1786050522,processor-86bcb8fdc5-scfk7,162,34
1786050528,processor-86bcb8fdc5-57tgb,200,34
1786050528,processor-86bcb8fdc5-9l55q,163,34
1786050528,processor-86bcb8fdc5-gv7ph,150,35
1786050528,processor-86bcb8fdc5-scfk7,162,34
1786050533,processor-86bcb8fdc5-57tgb,200,34
1786050533,processor-86bcb8fdc5-9l55q,163,34
1786050533,processor-86bcb8fdc5-gv7ph,150,35
1786050533,processor-86bcb8fdc5-scfk7,162,34
1786050538,processor-86bcb8fdc5-57tgb,184,34
1786050538,processor-86bcb8fdc5-9l55q,159,34
1786050538,processor-86bcb8fdc5-gv7ph,153,35
1786050538,processor-86bcb8fdc5-scfk7,151,34
1786050543,processor-86bcb8fdc5-57tgb,184,34
1786050543,processor-86bcb8fdc5-9l55q,159,34
1786050543,processor-86bcb8fdc5-gv7ph,153,35
1786050543,processor-86bcb8fdc5-scfk7,151,34
1786050549,processor-86bcb8fdc5-57tgb,194,34
1786050549,processor-86bcb8fdc5-9l55q,170,34
1786050549,processor-86bcb8fdc5-gv7ph,141,35
1786050549,processor-86bcb8fdc5-scfk7,160,34
1786050554,processor-86bcb8fdc5-57tgb,194,34
1786050554,processor-86bcb8fdc5-9l55q,170,34
1786050554,processor-86bcb8fdc5-gv7ph,141,35
1786050554,processor-86bcb8fdc5-scfk7,160,34
1786050559,processor-86bcb8fdc5-57tgb,194,34
1786050559,processor-86bcb8fdc5-9l55q,170,34
1786050559,processor-86bcb8fdc5-gv7ph,141,35
1786050559,processor-86bcb8fdc5-scfk7,160,34
1786050564,processor-86bcb8fdc5-57tgb,201,34
1786050564,processor-86bcb8fdc5-9l55q,163,34
1786050564,processor-86bcb8fdc5-gv7ph,146,35
1786050564,processor-86bcb8fdc5-scfk7,164,34
1786050570,processor-86bcb8fdc5-57tgb,201,34
1786050570,processor-86bcb8fdc5-9l55q,163,34
1786050570,processor-86bcb8fdc5-gv7ph,146,35
1786050570,processor-86bcb8fdc5-scfk7,164,34
1786050575,processor-86bcb8fdc5-57tgb,201,34
1786050575,processor-86bcb8fdc5-9l55q,163,34
1786050575,processor-86bcb8fdc5-gv7ph,146,35
1786050575,processor-86bcb8fdc5-scfk7,164,34
1786050580,processor-86bcb8fdc5-57tgb,196,34
1786050580,processor-86bcb8fdc5-9l55q,163,34
1786050580,processor-86bcb8fdc5-gv7ph,148,35
1786050580,processor-86bcb8fdc5-scfk7,163,34
1786050585,processor-86bcb8fdc5-57tgb,196,34
1786050585,processor-86bcb8fdc5-9l55q,163,34
1786050585,processor-86bcb8fdc5-gv7ph,148,35
1786050585,processor-86bcb8fdc5-scfk7,163,34
1786050590,processor-86bcb8fdc5-57tgb,196,34
1786050590,processor-86bcb8fdc5-9l55q,163,34
1786050590,processor-86bcb8fdc5-gv7ph,148,35
1786050590,processor-86bcb8fdc5-scfk7,163,34
1786050595,processor-86bcb8fdc5-57tgb,143,34
1786050595,processor-86bcb8fdc5-9l55q,159,34
1786050595,processor-86bcb8fdc5-gv7ph,89,35
1786050595,processor-86bcb8fdc5-scfk7,145,34
1786050601,processor-86bcb8fdc5-57tgb,143,34
1786050601,processor-86bcb8fdc5-9l55q,159,34
1786050601,processor-86bcb8fdc5-gv7ph,89,35
1786050601,processor-86bcb8fdc5-scfk7,145,34
1786050606,processor-86bcb8fdc5-57tgb,143,34
1786050606,processor-86bcb8fdc5-9l55q,159,34
1786050606,processor-86bcb8fdc5-gv7ph,89,35
1786050606,processor-86bcb8fdc5-scfk7,145,34
1786050611,processor-86bcb8fdc5-57tgb,10,34
1786050611,processor-86bcb8fdc5-9l55q,33,34
1786050611,processor-86bcb8fdc5-gv7ph,3,35
1786050611,processor-86bcb8fdc5-scfk7,21,34
