ts,ready_replicas,keda_metric,cpu_pct
21:10:37,4,88716m,1
21:10:43,4,88716m,1
21:10:48,4,78911m,1
21:10:54,4,78911m,1
21:10:59,4,78911m,1
21:11:05,4,99168m,35
21:11:10,4,99168m,35
21:11:16,4,130133m,86
21:11:22,4,130133m,86
21:11:27,4,130133m,86
21:11:32,4,141821m,88
21:11:38,4,141821m,88
21:11:43,4,141821m,88
21:11:49,4,159680m,85
21:11:54,4,159680m,85
21:12:00,4,159680m,85
21:12:05,4,166434m,85
21:12:10,4,166434m,85
21:12:16,4,172072m,84
21:12:22,4,172072m,84
21:12:27,4,172072m,84
21:12:33,4,180673m,88
21:12:39,4,180673m,88
21:12:45,4,180673m,88
21:12:51,4,183884m,86
21:12:57,4,183884m,86
21:13:02,4,186572m,87
21:13:08,4,186572m,87
21:13:13,4,186572m,87
21:13:19,4,190694m,86
21:13:24,4,190694m,86
21:13:30,4,190694m,86
21:13:35,4,192257m,87
21:13:42,4,192257m,87
21:13:47,4,192257m,87
21:13:52,4,194627m,86
21:13:58,4,194627m,86
21:14:04,4,192120m,85
21:14:10,4,192120m,85
21:14:16,4,192120m,85
21:14:21,4,163597m,64
21:14:27,4,163597m,64
