ts_unix,pod,cpu_m,mem_mi
1786050637,processor-86bcb8fdc5-57tgb,2,34
1786050637,processor-86bcb8fdc5-9l55q,3,34
1786050637,processor-86bcb8fdc5-gv7ph,6,35
1786050637,processor-86bcb8fdc5-scfk7,3,34
1786050642,processor-86bcb8fdc5-57tgb,3,34
1786050642,processor-86bcb8fdc5-9l55q,3,34
1786050642,processor-86bcb8fdc5-gv7ph,3,35
1786050642,processor-86bcb8fdc5-scfk7,3,34
1786050648,processor-86bcb8fdc5-57tgb,3,34
1786050648,processor-86bcb8fdc5-9l55q,3,34
1786050648,processor-86bcb8fdc5-gv7ph,3,35
1786050648,processor-86bcb8fdc5-scfk7,3,34
1786050653,processor-86bcb8fdc5-57tgb,3,34
1786050653,processor-86bcb8fdc5-9l55q,3,34
1786050653,processor-86bcb8fdc5-gv7ph,3,35
1786050653,processor-86bcb8fdc5-scfk7,3,34
1786050658,processor-86bcb8fdc5-57tgb,43,34
1786050658,processor-86bcb8fdc5-9l55q,83,34
1786050658,processor-86bcb8fdc5-gv7ph,98,35
1786050658,processor-86bcb8fdc5-scfk7,57,34
1786050663,processor-86bcb8fdc5-57tgb,43,34
1786050663,processor-86bcb8fdc5-9l55q,83,34
1786050663,processor-86bcb8fdc5-gv7ph,98,35
1786050663,processor-86bcb8fdc5-scfk7,57,34
1786050668,processor-86bcb8fdc5-57tgb,43,34
1786050668,processor-86bcb8fdc5-9l55q,83,34
1786050668,processor-86bcb8fdc5-gv7ph,98,35
1786050668,processor-86bcb8fdc5-scfk7,57,34
1786050674,processor-86bcb8fdc5-57tgb,193,34
1786050674,processor-86bcb8fdc5-9l55q,174,34
1786050674,processor-86bcb8fdc5-gv7ph,155,35
1786050674,processor-86bcb8fdc5-scfk7,167,34
1786050679,processor-86bcb8fdc5-57tgb,193,34
1786050679,processor-86bcb8fdc5-9l55q,174,34
1786050679,processor-86bcb8fdc5-gv7ph,155,35
1786050679,processor-86bcb8fdc5-scfk7,167,34
1786050684,processor-86bcb8fdc5-57tgb,209,34
1786050684,processor-86bcb8fdc5-9l55q,179,34
1786050684,processor-86bcb8fdc5-gv7ph,148,35
1786050684,processor-86bcb8fdc5-scfk7,172,34
1786050689,processor-86bcb8fdc5-57tgb,209,34
1786050689,processor-86bcb8fdc5-9l55q,179,34
1786050689,processor-86bcb8fdc5-gv7ph,148,35
1786050689,processor-86bcb8fdc5-scfk7,172,34
1786050694,processor-86bcb8fdc5-57tgb,209,34
1786050694,processor-86bcb8fdc5-9l55q,179,34
1786050694,processor-86bcb8fdc5-gv7ph,148,35
1786050694,processor-86bcb8fdc5-scfk7,172,34
1786050700,processor-86bcb8fdc5-57tgb,209,34
1786050700,processor-86bcb8fdc5-9l55q,166,34
1786050700,processor-86bcb8fdc5-gv7ph,143,35
1786050700,processor-86bcb8fdc5-scfk7,168,34
1786050705,processor-86bcb8fdc5-57tgb,209,34
1786050705,processor-86bcb8fdc5-9l55q,166,34
1786050705,processor-86bcb8fdc5-gv7ph,143,35
1786050705,processor-86bcb8fdc5-scfk7,168,34
1786050710,processor-86bcb8fdc5-57tgb,209,34
1786050710,processor-86bcb8fdc5-9l55q,166,34
1786050710,processor-86bcb8fdc5-gv7ph,143,35
1786050710,processor-86bcb8fdc5-scfk7,168,34
1786050715,processor-86bcb8fdc5-57tgb,203,34
1786050715,processor-86bcb8fdc5-9l55q,161,34
1786050715,processor-86bcb8fdc5-gv7ph,155,35
1786050715,processor-86bcb8fdc5-scfk7,165,34
1786050720,processor-86bcb8fdc5-57tgb,203,34
1786050720,processor-86bcb8fdc5-9l55q,161,34
1786050720,processor-86bcb8fdc5-gv7ph,155,35
1786050720,processor-86bcb8fdc5-scfk7,165,34
1786050726,processor-86bcb8fdc5-57tgb,203,34
1786050726,processor-86bcb8fdc5-9l55q,161,34
1786050726,processor-86bcb8fdc5-gv7ph,155,35
1786050726,processor-86bcb8fdc5-scfk7,165,34
1786050731,processor-86bcb8fdc5-57tgb,199,34
1786050731,processor-86bcb8fdc5-9l55q,164,34
1786050731,processor-86bcb8fdc5-gv7ph,146,35
1786050731,processor-86bcb8fdc5-scfk7,170,34
1786050736,processor-86bcb8fdc5-57tgb,199,34
1786050736,processor-86bcb8fdc5-9l55q,164,34
1786050736,processor-86bcb8fdc5-gv7ph,146,35
1786050736,processor-86bcb8fdc5-scfk7,170,34
1786050741,processor-86bcb8fdc5-57tgb,199,34
1786050741,processor-86bcb8fdc5-9l55q,164,34
1786050741,processor-86bcb8fdc5-gv7ph,146,35
1786050741,processor-86bcb8fdc5-scfk7,170,34
1786050746,processor-86bcb8fdc5-57tgb,220,34
1786050746,processor-86bcb8fdc5-9l55q,171,34
1786050746,processor-86bcb8fdc5-gv7ph,152,35
1786050746,processor-86bcb8fdc5-scfk7,168,34
1786050751,processor-86bcb8fdc5-57tgb,220,34
1786050751,processor-86bcb8fdc5-9l55q,171,34
1786050751,processor-86bcb8fdc5-gv7ph,152,35
1786050751,processor-86bcb8fdc5-scfk7,168,34
1786050757,processor-86bcb8fdc5-57tgb,220,34
1786050757,processor-86bcb8fdc5-9l55q,171,34
1786050757,processor-86bcb8fdc5-gv7ph,152,35
1786050757,processor-86bcb8fdc5-scfk7,168,34
1786050762,processor-86bcb8fdc5-57tgb,200,34
1786050762,processor-86bcb8fdc5-9l55q,171,34
1786050762,processor-86bcb8fdc5-gv7ph,151,35
1786050762,processor-86bcb8fdc5-scfk7,172,34
1786050767,processor-86bcb8fdc5-57tgb,200,34
1786050767,processor-86bcb8fdc5-9l55q,171,34
1786050767,processor-86bcb8fdc5-gv7ph,151,35
1786050767,processor-86bcb8fdc5-scfk7,172,34
1786050772,processor-86bcb8fdc5-57tgb,200,34
1786050772,processor-86bcb8fdc5-9l55q,171,34
1786050772,processor-86bcb8fdc5-gv7ph,151,35
1786050772,processor-86bcb8fdc5-scfk7,172,34
1786050777,processor-86bcb8fdc5-57tgb,209,34
1786050777,processor-86bcb8fdc5-9l55q,168,34
1786050777,processor-86bcb8fdc5-gv7ph,152,35
1786050777,processor-86bcb8fdc5-scfk7,171,34
1786050783,processor-86bcb8fdc5-57tgb,209,34
1786050783,processor-86bcb8fdc5-9l55q,168,34
1786050783,processor-86bcb8fdc5-gv7ph,152,35
1786050783,processor-86bcb8fdc5-scfk7,171,34
1786050788,processor-86bcb8fdc5-57tgb,209,34
1786050788,processor-86bcb8fdc5-9l55q,168,34
1786050788,processor-86bcb8fdc5-gv7ph,152,35
1786050788,processor-86bcb8fdc5-scfk7,171,34
1786050793,processor-86bcb8fdc5-57tgb,209,34
1786050793,processor-86bcb8fdc5-9l55q,167,34
1786050793,processor-86bcb8fdc5-gv7ph,144,35
1786050793,processor-86bcb8fdc5-scfk7,171,34
1786050798,processor-86bcb8fdc5-57tgb,209,34
1786050798,processor-86bcb8fdc5-9l55q,167,34
1786050798,processor-86bcb8fdc5-gv7ph,144,35
1786050798,processor-86bcb8fdc5-scfk7,171,34
1786050803,processor-86bcb8fdc5-57tgb,209,34
1786050803,processor-86bcb8fdc5-9l55q,167,34
1786050803,processor-86bcb8fdc5-gv7ph,144,35
1786050803,processor-86bcb8fdc5-scfk7,171,34
1786050808,processor-86bcb8fdc5-57tgb,212,34
1786050808,processor-86bcb8fdc5-9l55q,167,34
1786050808,processor-86bcb8fdc5-gv7ph,148,35
1786050808,processor-86bcb8fdc5-scfk7,172,34
1786050814,processor-86bcb8fdc5-57tgb,212,34
1786050814,processor-86bcb8fdc5-9l55q,167,34
1786050814,processor-86bcb8fdc5-gv7ph,148,35
1786050814,processor-86bcb8fdc5-scfk7,172,34
1786050819,processor-86bcb8fdc5-57tgb,202,34
1786050819,processor-86bcb8fdc5-9l55q,167,34
1786050819,processor-86bcb8fdc5-gv7ph,154,35
1786050819,processor-86bcb8fdc5-scfk7,171,34
1786050824,processor-86bcb8fdc5-57tgb,202,34
1786050824,processor-86bcb8fdc5-9l55q,167,34
1786050824,processor-86bcb8fdc5-gv7ph,154,35
1786050824,processor-86bcb8fdc5-scfk7,171,34
1786050829,processor-86bcb8fdc5-57tgb,202,34
1786050829,processor-86bcb8fdc5-9l55q,167,34
1786050829,processor-86bcb8fdc5-gv7ph,154,35
1786050829,processor-86bcb8fdc5-scfk7,171,34
1786050834,processor-86bcb8fdc5-57tgb,193,34
1786050834,processor-86bcb8fdc5-9l55q,169,34
1786050834,processor-86bcb8fdc5-gv7ph,156,35
1786050834,processor-86bcb8fdc5-scfk7,169,34
1786050840,processor-86bcb8fdc5-57tgb,193,34
1786050840,processor-86bcb8fdc5-9l55q,169,34
1786050840,processor-86bcb8fdc5-gv7ph,156,35
1786050840,processor-86bcb8fdc5-scfk7,169,34
1786050845,processor-86bcb8fdc5-57tgb,193,34
1786050845,processor-86bcb8fdc5-9l55q,169,34
1786050845,processor-86bcb8fdc5-gv7ph,156,35
1786050845,processor-86bcb8fdc5-scfk7,169,34
1786050850,processor-86bcb8fdc5-57tgb,118,34
1786050850,processor-86bcb8fdc5-9l55q,135,34
1786050850,processor-86bcb8fdc5-gv7ph,156,35
1786050850,processor-86bcb8fdc5-scfk7,108,34
1786050855,processor-86bcb8fdc5-57tgb,118,34
1786050855,processor-86bcb8fdc5-9l55q,135,34
1786050855,processor-86bcb8fdc5-gv7ph,156,35
1786050855,processor-86bcb8fdc5-scfk7,108,34
1786050860,processor-86bcb8fdc5-57tgb,118,34
1786050860,processor-86bcb8fdc5-9l55q,135,34
1786050860,processor-86bcb8fdc5-gv7ph,156,35
1786050860,processor-86bcb8fdc5-scfk7,108,34
1786050865,processor-86bcb8fdc5-57tgb,3,34
1786050865,processor-86bcb8fdc5-9l55q,5,34
1786050865,processor-86bcb8fdc5-gv7ph,74,35
1786050865,processor-86bcb8fdc5-scfk7,3,34
1786050871,processor-86bcb8fdc5-57tgb,3,34
1786050871,processor-86bcb8fdc5-9l55q,5,34
1786050871,processor-86bcb8fdc5-gv7ph,74,35
1786050871,processor-86bcb8fdc5-scfk7,3,34
