ts_unix,pod,cpu_m,mem_mi
1786293544,processor-86bcb8fdc5-mcpss,29,34
1786293544,processor-86bcb8fdc5-sc4qt,42,35
1786293547,processor-86bcb8fdc5-mcpss,29,34
1786293547,processor-86bcb8fdc5-sc4qt,42,35
1786293549,processor-86bcb8fdc5-mcpss,29,34
1786293549,processor-86bcb8fdc5-sc4qt,42,35
1786293551,processor-86bcb8fdc5-mcpss,29,34
1786293551,processor-86bcb8fdc5-sc4qt,42,35
1786293553,processor-86bcb8fdc5-mcpss,29,34
1786293553,processor-86bcb8fdc5-sc4qt,42,35
1786293555,processor-86bcb8fdc5-mcpss,29,34
1786293555,processor-86bcb8fdc5-sc4qt,42,35
1786293558,processor-86bcb8fdc5-mcpss,29,34
1786293558,processor-86bcb8fdc5-sc4qt,42,35
1786293560,processor-86bcb8fdc5-f6hs2,302,35
1786293560,processor-86bcb8fdc5-mcpss,96,34
1786293560,processor-86bcb8fdc5-sc4qt,38,35
1786293560,processor-86bcb8fdc5-zfmhw,229,34
1786293562,processor-86bcb8fdc5-f6hs2,302,35
1786293562,processor-86bcb8fdc5-mcpss,96,34
1786293562,processor-86bcb8fdc5-sc4qt,38,35
1786293562,processor-86bcb8fdc5-zfmhw,229,34
1786293569,processor-86bcb8fdc5-f6hs2,302,35
1786293569,processor-86bcb8fdc5-mcpss,96,34
1786293569,processor-86bcb8fdc5-sc4qt,38,35
1786293569,processor-86bcb8fdc5-zfmhw,229,34
1786293576,processor-86bcb8fdc5-f6hs2,222,35
1786293576,processor-86bcb8fdc5-mcpss,263,34
1786293576,processor-86bcb8fdc5-sc4qt,229,35
1786293576,processor-86bcb8fdc5-zfmhw,246,34
1786293580,processor-86bcb8fdc5-f6hs2,222,35
1786293580,processor-86bcb8fdc5-mcpss,263,34
1786293580,processor-86bcb8fdc5-sc4qt,229,35
1786293580,processor-86bcb8fdc5-zfmhw,246,34
1786293584,processor-86bcb8fdc5-f6hs2,222,35
1786293584,processor-86bcb8fdc5-mcpss,263,34
1786293584,processor-86bcb8fdc5-sc4qt,229,35
1786293584,processor-86bcb8fdc5-zfmhw,246,34
1786293587,processor-86bcb8fdc5-f6hs2,222,35
1786293587,processor-86bcb8fdc5-mcpss,263,34
1786293587,processor-86bcb8fdc5-sc4qt,229,35
1786293587,processor-86bcb8fdc5-zfmhw,246,34
1786293590,processor-86bcb8fdc5-f6hs2,222,35
1786293590,processor-86bcb8fdc5-mcpss,263,34
1786293590,processor-86bcb8fdc5-sc4qt,232,35
1786293590,processor-86bcb8fdc5-zfmhw,247,34
1786293592,processor-86bcb8fdc5-f6hs2,222,35
1786293592,processor-86bcb8fdc5-mcpss,263,34
1786293592,processor-86bcb8fdc5-sc4qt,232,35
1786293592,processor-86bcb8fdc5-zfmhw,247,34
1786293596,processor-86bcb8fdc5-f6hs2,222,35
1786293596,processor-86bcb8fdc5-mcpss,263,34
1786293596,processor-86bcb8fdc5-sc4qt,232,35
1786293596,processor-86bcb8fdc5-zfmhw,247,34
1786293599,processor-86bcb8fdc5-f6hs2,222,35
1786293599,processor-86bcb8fdc5-mcpss,263,34
1786293599,processor-86bcb8fdc5-sc4qt,232,35
1786293599,processor-86bcb8fdc5-zfmhw,247,34
1786293603,processor-86bcb8fdc5-f6hs2,222,35
1786293603,processor-86bcb8fdc5-mcpss,263,34
1786293603,processor-86bcb8fdc5-sc4qt,232,35
1786293603,processor-86bcb8fdc5-zfmhw,247,34
1786293605,processor-86bcb8fdc5-f6hs2,222,35
1786293605,processor-86bcb8fdc5-mcpss,263,34
1786293605,processor-86bcb8fdc5-sc4qt,232,35
1786293605,processor-86bcb8fdc5-zfmhw,256,34
1786293608,processor-86bcb8fdc5-f6hs2,222,35
1786293608,processor-86bcb8fdc5-mcpss,263,34
1786293608,processor-86bcb8fdc5-sc4qt,232,35
1786293608,processor-86bcb8fdc5-zfmhw,256,34
1786293610,processor-86bcb8fdc5-f6hs2,222,35
1786293610,processor-86bcb8fdc5-mcpss,263,34
1786293610,processor-86bcb8fdc5-sc4qt,232,35
1786293610,processor-86bcb8fdc5-zfmhw,256,34
1786293613,processor-86bcb8fdc5-f6hs2,222,35
1786293613,processor-86bcb8fdc5-mcpss,263,34
1786293613,processor-86bcb8fdc5-sc4qt,232,35
1786293613,processor-86bcb8fdc5-zfmhw,256,34
1786293615,processor-86bcb8fdc5-f6hs2,222,35
1786293615,processor-86bcb8fdc5-mcpss,263,34
1786293615,processor-86bcb8fdc5-sc4qt,232,35
1786293615,processor-86bcb8fdc5-zfmhw,256,34
1786293619,processor-86bcb8fdc5-f6hs2,217,36
1786293619,processor-86bcb8fdc5-mcpss,277,34
1786293619,processor-86bcb8fdc5-sc4qt,235,35
1786293619,processor-86bcb8fdc5-zfmhw,246,34
1786293622,processor-86bcb8fdc5-f6hs2,217,36
1786293622,processor-86bcb8fdc5-mcpss,277,34
1786293622,processor-86bcb8fdc5-sc4qt,235,35
1786293622,processor-86bcb8fdc5-zfmhw,246,34
1786293625,processor-86bcb8fdc5-f6hs2,217,36
1786293625,processor-86bcb8fdc5-mcpss,277,34
1786293625,processor-86bcb8fdc5-sc4qt,235,35
1786293625,processor-86bcb8fdc5-zfmhw,246,34
1786293628,processor-86bcb8fdc5-f6hs2,217,36
1786293628,processor-86bcb8fdc5-mcpss,277,34
1786293628,processor-86bcb8fdc5-sc4qt,235,35
1786293628,processor-86bcb8fdc5-zfmhw,246,34
1786293630,processor-86bcb8fdc5-f6hs2,217,36
1786293630,processor-86bcb8fdc5-mcpss,277,34
1786293630,processor-86bcb8fdc5-sc4qt,235,35
1786293630,processor-86bcb8fdc5-zfmhw,246,34
1786293632,processor-86bcb8fdc5-f6hs2,217,36
1786293632,processor-86bcb8fdc5-mcpss,277,34
1786293632,processor-86bcb8fdc5-sc4qt,235,35
1786293632,processor-86bcb8fdc5-zfmhw,246,34
