ts_unix,pod,cpu_m,mem_mi
1786295918,processor-86bcb8fdc5-5kq6x,14,34
1786295918,processor-86bcb8fdc5-8d55c,7,34
1786295918,processor-86bcb8fdc5-8hjb4,7,34
1786295918,processor-86bcb8fdc5-8vntf,7,35
1786295923,processor-86bcb8fdc5-5kq6x,14,34
1786295923,processor-86bcb8fdc5-8d55c,7,34
1786295923,processor-86bcb8fdc5-8hjb4,7,34
1786295923,processor-86bcb8fdc5-8vntf,7,35
1786295928,processor-86bcb8fdc5-5kq6x,14,34
1786295928,processor-86bcb8fdc5-8d55c,7,34
1786295928,processor-86bcb8fdc5-8hjb4,7,34
1786295928,processor-86bcb8fdc5-8vntf,7,35
1786295933,processor-86bcb8fdc5-5kq6x,12,34
1786295933,processor-86bcb8fdc5-8d55c,58,34
1786295933,processor-86bcb8fdc5-8hjb4,143,34
1786295933,processor-86bcb8fdc5-8vntf,8,35
1786295939,processor-86bcb8fdc5-5kq6x,12,34
1786295939,processor-86bcb8fdc5-8d55c,58,34
1786295939,processor-86bcb8fdc5-8hjb4,143,34
1786295939,processor-86bcb8fdc5-8vntf,8,35
1786295944,processor-86bcb8fdc5-5kq6x,325,34
1786295944,processor-86bcb8fdc5-8d55c,287,34
1786295944,processor-86bcb8fdc5-8hjb4,315,34
1786295944,processor-86bcb8fdc5-8vntf,246,35
1786295951,processor-86bcb8fdc5-5kq6x,325,34
1786295951,processor-86bcb8fdc5-8d55c,287,34
1786295951,processor-86bcb8fdc5-8hjb4,315,34
1786295951,processor-86bcb8fdc5-8vntf,246,35
1786295956,processor-86bcb8fdc5-5kq6x,325,34
1786295956,processor-86bcb8fdc5-8d55c,287,34
1786295956,processor-86bcb8fdc5-8hjb4,315,34
1786295956,processor-86bcb8fdc5-8vntf,246,35
1786295961,processor-86bcb8fdc5-5kq6x,381,34
1786295961,processor-86bcb8fdc5-8d55c,320,34
1786295961,processor-86bcb8fdc5-8hjb4,365,34
1786295961,processor-86bcb8fdc5-8vntf,316,35
1786295967,processor-86bcb8fdc5-5kq6x,381,34
1786295967,processor-86bcb8fdc5-8d55c,320,34
1786295967,processor-86bcb8fdc5-8hjb4,365,34
1786295967,processor-86bcb8fdc5-8vntf,316,35
1786295972,processor-86bcb8fdc5-5kq6x,381,34
1786295972,processor-86bcb8fdc5-8d55c,320,34
1786295972,processor-86bcb8fdc5-8hjb4,365,34
1786295972,processor-86bcb8fdc5-8vntf,316,35
1786295977,processor-86bcb8fdc5-5kq6x,334,34
1786295977,processor-86bcb8fdc5-8d55c,293,34
1786295977,processor-86bcb8fdc5-8hjb4,333,34
1786295977,processor-86bcb8fdc5-8vntf,306,35
1786295983,processor-86bcb8fdc5-5kq6x,334,34
1786295983,processor-86bcb8fdc5-8d55c,293,34
1786295983,processor-86bcb8fdc5-8hjb4,333,34
1786295983,processor-86bcb8fdc5-8vntf,306,35
1786295988,processor-86bcb8fdc5-5kq6x,334,34
1786295988,processor-86bcb8fdc5-8d55c,293,34
1786295988,processor-86bcb8fdc5-8hjb4,333,34
1786295988,processor-86bcb8fdc5-8vntf,306,35
1786295993,processor-86bcb8fdc5-5kq6x,359,34
1786295993,processor-86bcb8fdc5-8d55c,340,34
1786295993,processor-86bcb8fdc5-8hjb4,362,35
1786295993,processor-86bcb8fdc5-8vntf,324,35
1786295999,processor-86bcb8fdc5-5kq6x,359,34
1786295999,processor-86bcb8fdc5-8d55c,340,34
1786295999,processor-86bcb8fdc5-8hjb4,362,35
1786295999,processor-86bcb8fdc5-8vntf,324,35
1786296005,processor-86bcb8fdc5-5kq6x,394,34
1786296005,processor-86bcb8fdc5-8d55c,340,34
1786296005,processor-86bcb8fdc5-8hjb4,358,35
1786296005,processor-86bcb8fdc5-8vntf,331,35
1786296010,processor-86bcb8fdc5-5kq6x,394,34
1786296010,processor-86bcb8fdc5-8d55c,340,34
1786296010,processor-86bcb8fdc5-8hjb4,358,35
1786296010,processor-86bcb8fdc5-8vntf,331,35
1786296015,processor-86bcb8fdc5-5kq6x,394,34
1786296015,processor-86bcb8fdc5-8d55c,340,34
1786296015,processor-86bcb8fdc5-8hjb4,358,35
1786296015,processor-86bcb8fdc5-8vntf,331,35
1786296021,processor-86bcb8fdc5-5kq6x,351,34
1786296021,processor-86bcb8fdc5-8d55c,294,34
1786296021,processor-86bcb8fdc5-8hjb4,357,35
1786296021,processor-86bcb8fdc5-8vntf,309,35
1786296026,processor-86bcb8fdc5-5kq6x,351,34
1786296026,processor-86bcb8fdc5-8d55c,294,34
1786296026,processor-86bcb8fdc5-8hjb4,357,35
1786296026,processor-86bcb8fdc5-8vntf,309,35
1786296031,processor-86bcb8fdc5-5kq6x,351,34
1786296031,processor-86bcb8fdc5-8d55c,294,34
1786296031,processor-86bcb8fdc5-8hjb4,357,35
1786296031,processor-86bcb8fdc5-8vntf,309,35
1786296037,processor-86bcb8fdc5-5kq6x,383,34
1786296037,processor-86bcb8fdc5-8d55c,321,34
1786296037,processor-86bcb8fdc5-8hjb4,357,35
1786296037,processor-86bcb8fdc5-8vntf,325,35
1786296042,processor-86bcb8fdc5-5kq6x,383,34
1786296042,processor-86bcb8fdc5-8d55c,321,34
1786296042,processor-86bcb8fdc5-8hjb4,357,35
1786296042,processor-86bcb8fdc5-8vntf,325,35
1786296047,processor-86bcb8fdc5-5kq6x,383,34
1786296047,processor-86bcb8fdc5-8d55c,321,34
1786296047,processor-86bcb8fdc5-8hjb4,357,35
1786296047,processor-86bcb8fdc5-8vntf,325,35
1786296053,processor-86bcb8fdc5-5kq6x,366,34
1786296053,processor-86bcb8fdc5-8d55c,344,34
1786296053,processor-86bcb8fdc5-8hjb4,327,35
