ts,ready_replicas,keda_metric,cpu_pct
19:21:26,1,0,1
19:21:32,1,0,1
19:21:37,1,0,1
19:21:42,1,0,1
19:21:48,1,129744m,1
19:21:53,1,129744m,1
19:21:59,1,129744m,1
19:22:04,2,242018m,118
19:22:10,2,242018m,118
19:22:15,2,242018m,118
19:22:20,2,206648m,135
19:22:26,2,206648m,135
19:22:31,2,239036m,105
19:22:37,2,239036m,105
19:22:42,2,239036m,105
19:22:48,3,265999m,107
19:22:53,3,265999m,107
19:22:59,3,265999m,107
19:23:04,3,204755m,105
19:23:10,3,204755m,105
19:23:15,3,215126m,101
19:23:21,3,215126m,101
19:23:26,3,215126m,101
19:23:31,3,223759m,89
19:23:37,4,223759m,89
19:23:42,4,223759m,89
19:23:48,4,177728m,89
19:23:53,4,177728m,89
19:23:59,4,177728m,89
19:24:04,4,181455m,72
19:24:09,4,181455m,72
19:24:15,4,181455m,72
19:24:20,4,187125m,74
19:24:25,4,187125m,74
19:24:31,4,189282m,73
19:24:36,4,189282m,73
19:24:41,4,189282m,73
19:24:47,4,191077m,73
19:24:52,4,191077m,73
19:24:58,4,191077m,73
19:25:03,4,166867m,69
19:25:08,4,166867m,69
19:25:14,4,166867m,69
19:25:20,4,138916m,36
