ts,ready_replicas,keda_metric,cpu_pct
19:47:00,1,180m,
19:47:06,1,150m,1
19:47:12,1,150m,1
19:47:18,1,150m,1
19:47:24,1,115265m,44
19:47:29,1,115265m,44
19:47:34,1,115265m,44
19:47:40,2,325573m,142
19:47:45,2,325573m,142
19:47:51,2,202484m,140
19:47:56,2,202484m,140
19:48:02,2,202484m,140
19:48:07,2,235585m,128
19:48:12,2,235585m,128
19:48:18,2,235585m,128
19:48:23,3,286045m,112
19:48:29,3,286045m,112
19:48:34,3,286045m,112
19:48:40,3,203407m,110
19:48:45,3,203407m,110
19:48:51,3,222825m,113
19:48:57,4,222825m,113
19:49:02,4,222825m,113
19:49:07,4,172623m,90
19:49:13,4,172623m,90
19:49:19,4,172623m,90
19:49:25,4,177209m,86
19:49:31,4,177209m,86
19:49:36,4,184226m,78
19:49:41,4,184226m,78
19:49:47,4,184226m,78
19:49:52,4,186849m,76
19:49:57,4,186849m,76
19:50:03,4,186849m,76
19:50:08,4,189052m,77
19:50:13,4,189052m,77
19:50:19,4,189052m,77
19:50:24,4,191933m,77
19:50:30,4,191933m,77
19:50:35,4,191933m,77
19:50:40,4,170256m,74
19:50:46,4,170256m,74
19:50:51,4,117994m,43
