ts_unix,pod,cpu_m,mem_mi
1786304820,processor-86bcb8fdc5-b69rc,3,33
1786304826,processor-86bcb8fdc5-b69rc,3,33
1786304831,processor-86bcb8fdc5-b69rc,89,34
1786304836,processor-86bcb8fdc5-b69rc,89,34
1786304841,processor-86bcb8fdc5-b69rc,89,34
1786304846,processor-86bcb8fdc5-b69rc,285,35
1786304851,processor-86bcb8fdc5-b69rc,285,35
1786304856,processor-86bcb8fdc5-b69rc,285,35
1786304861,processor-86bcb8fdc5-b69rc,281,35
1786304866,processor-86bcb8fdc5-b69rc,281,35
1786304871,processor-86bcb8fdc5-b69rc,281,35
1786304877,processor-86bcb8fdc5-b69rc,257,35
1786304877,processor-86bcb8fdc5-l4w5q,281,34
1786304882,processor-86bcb8fdc5-b69rc,257,35
1786304882,processor-86bcb8fdc5-l4w5q,281,34
1786304887,processor-86bcb8fdc5-b69rc,257,35
1786304887,processor-86bcb8fdc5-l4w5q,281,34
1786304892,processor-86bcb8fdc5-b69rc,209,35
1786304892,processor-86bcb8fdc5-l4w5q,241,34
1786304897,processor-86bcb8fdc5-b69rc,209,35
1786304897,processor-86bcb8fdc5-l4w5q,241,34
1786304902,processor-86bcb8fdc5-b69rc,209,35
1786304902,processor-86bcb8fdc5-l4w5q,241,34
1786304907,processor-86bcb8fdc5-b69rc,202,35
1786304907,processor-86bcb8fdc5-l4w5q,241,34
1786304912,processor-86bcb8fdc5-b69rc,202,35
1786304912,processor-86bcb8fdc5-l4w5q,241,34
1786304917,processor-86bcb8fdc5-b69rc,202,35
1786304917,processor-86bcb8fdc5-l4w5q,241,34
1786304922,processor-86bcb8fdc5-b69rc,194,35
1786304922,processor-86bcb8fdc5-cpvr5,252,34
1786304922,processor-86bcb8fdc5-l4w5q,233,34
1786304928,processor-86bcb8fdc5-b69rc,194,35
1786304928,processor-86bcb8fdc5-cpvr5,252,34
1786304928,processor-86bcb8fdc5-l4w5q,233,34
1786304933,processor-86bcb8fdc5-b69rc,173,35
1786304933,processor-86bcb8fdc5-cpvr5,168,34
1786304933,processor-86bcb8fdc5-l4w5q,203,34
1786304938,processor-86bcb8fdc5-b69rc,173,35
1786304938,processor-86bcb8fdc5-cpvr5,168,34
1786304938,processor-86bcb8fdc5-l4w5q,203,34
1786304943,processor-86bcb8fdc5-b69rc,173,35
1786304943,processor-86bcb8fdc5-cpvr5,168,34
1786304943,processor-86bcb8fdc5-l4w5q,203,34
1786304948,processor-86bcb8fdc5-b69rc,180,35
1786304948,processor-86bcb8fdc5-cpvr5,155,34
1786304948,processor-86bcb8fdc5-l4w5q,200,34
1786304948,processor-86bcb8fdc5-spv7j,155,34
1786304953,processor-86bcb8fdc5-b69rc,180,35
1786304953,processor-86bcb8fdc5-cpvr5,155,34
1786304953,processor-86bcb8fdc5-l4w5q,200,34
1786304953,processor-86bcb8fdc5-spv7j,155,34
1786304958,processor-86bcb8fdc5-b69rc,180,35
1786304958,processor-86bcb8fdc5-cpvr5,155,34
1786304958,processor-86bcb8fdc5-l4w5q,200,34
1786304958,processor-86bcb8fdc5-spv7j,155,34
1786304963,processor-86bcb8fdc5-b69rc,150,35
1786304963,processor-86bcb8fdc5-cpvr5,145,34
1786304963,processor-86bcb8fdc5-l4w5q,175,34
1786304963,processor-86bcb8fdc5-spv7j,155,34
1786304968,processor-86bcb8fdc5-b69rc,150,35
1786304968,processor-86bcb8fdc5-cpvr5,145,34
1786304968,processor-86bcb8fdc5-l4w5q,175,34
1786304968,processor-86bcb8fdc5-spv7j,155,34
1786304973,processor-86bcb8fdc5-b69rc,150,35
1786304973,processor-86bcb8fdc5-cpvr5,145,34
1786304973,processor-86bcb8fdc5-l4w5q,175,34
1786304973,processor-86bcb8fdc5-spv7j,155,34
1786304979,processor-86bcb8fdc5-b69rc,151,35
1786304979,processor-86bcb8fdc5-cpvr5,147,34
1786304979,processor-86bcb8fdc5-l4w5q,194,34
1786304979,processor-86bcb8fdc5-spv7j,123,34
1786304984,processor-86bcb8fdc5-b69rc,151,35
1786304984,processor-86bcb8fdc5-cpvr5,147,34
1786304984,processor-86bcb8fdc5-l4w5q,194,34
1786304984,processor-86bcb8fdc5-spv7j,123,34
1786304989,processor-86bcb8fdc5-b69rc,151,35
1786304989,processor-86bcb8fdc5-cpvr5,147,34
1786304989,processor-86bcb8fdc5-l4w5q,194,34
1786304989,processor-86bcb8fdc5-spv7j,123,34
1786304994,processor-86bcb8fdc5-b69rc,151,35
1786304994,processor-86bcb8fdc5-cpvr5,147,34
1786304994,processor-86bcb8fdc5-l4w5q,194,34
1786304994,processor-86bcb8fdc5-spv7j,124,34
1786304999,processor-86bcb8fdc5-b69rc,151,35
1786304999,processor-86bcb8fdc5-cpvr5,147,34
1786304999,processor-86bcb8fdc5-l4w5q,194,34
1786304999,processor-86bcb8fdc5-spv7j,124,34
1786305004,processor-86bcb8fdc5-b69rc,151,35
1786305004,processor-86bcb8fdc5-cpvr5,147,34
1786305004,processor-86bcb8fdc5-l4w5q,194,34
1786305004,processor-86bcb8fdc5-spv7j,124,34
1786305009,processor-86bcb8fdc5-b69rc,152,35
1786305009,processor-86bcb8fdc5-cpvr5,149,34
1786305009,processor-86bcb8fdc5-l4w5q,196,34
1786305009,processor-86bcb8fdc5-spv7j,121,34
1786305014,processor-86bcb8fdc5-b69rc,152,35
1786305014,processor-86bcb8fdc5-cpvr5,149,34
1786305014,processor-86bcb8fdc5-l4w5q,196,34
1786305014,processor-86bcb8fdc5-spv7j,121,34
1786305019,processor-86bcb8fdc5-b69rc,152,35
1786305019,processor-86bcb8fdc5-cpvr5,149,34
1786305019,processor-86bcb8fdc5-l4w5q,196,34
1786305019,processor-86bcb8fdc5-spv7j,121,34
1786305024,processor-86bcb8fdc5-b69rc,152,35
1786305024,processor-86bcb8fdc5-cpvr5,144,34
1786305024,processor-86bcb8fdc5-l4w5q,171,34
1786305024,processor-86bcb8fdc5-spv7j,129,34
1786305030,processor-86bcb8fdc5-b69rc,152,35
1786305030,processor-86bcb8fdc5-cpvr5,144,34
1786305030,processor-86bcb8fdc5-l4w5q,171,34
1786305030,processor-86bcb8fdc5-spv7j,129,34
1786305035,processor-86bcb8fdc5-b69rc,152,35
1786305035,processor-86bcb8fdc5-cpvr5,144,34
1786305035,processor-86bcb8fdc5-l4w5q,171,34
1786305035,processor-86bcb8fdc5-spv7j,129,34
1786305040,processor-86bcb8fdc5-b69rc,127,35
1786305040,processor-86bcb8fdc5-cpvr5,76,34
1786305040,processor-86bcb8fdc5-l4w5q,50,34
1786305040,processor-86bcb8fdc5-spv7j,92,34
1786305045,processor-86bcb8fdc5-b69rc,127,35
1786305045,processor-86bcb8fdc5-cpvr5,76,34
