ts_unix,pod,cpu_m,mem_mi
1788817022,processor-777bd786cc-v2zss,23,35
1788817027,processor-777bd786cc-v2zss,9,35
1788817032,processor-777bd786cc-v2zss,9,35
1788817037,processor-777bd786cc-v2zss,9,35
1788817042,processor-777bd786cc-v2zss,33,35
1788817047,processor-777bd786cc-v2zss,33,35
1788817053,processor-777bd786cc-v2zss,151,35
1788817510,processor-777bd786cc-v2zss,151,35
1788817515,processor-777bd786cc-v2zss,151,35
1788817520,processor-777bd786cc-v2zss,151,35
1788817526,processor-777bd786cc-v2zss,151,35
1788825064,processor-777bd786cc-v2zss,1,36
1788825072,processor-777bd786cc-v2zss,1,36
1788825077,processor-777bd786cc-v2zss,1,36
