ts,ready_replicas,pods
07:18:46,2,processor-54d87668b6-5s8z7|processor-54d87668b6-t5x2t
07:18:52,2,processor-54d87668b6-5s8z7|processor-54d87668b6-t5x2t
07:18:58,2,processor-54d87668b6-5s8z7|processor-54d87668b6-t5x2t
07:19:03,2,processor-54d87668b6-5s8z7|processor-54d87668b6-t5x2t
07:19:09,2,processor-54d87668b6-5s8z7|processor-54d87668b6-t5x2t
07:19:15,2,processor-54d87668b6-5s8z7|processor-54d87668b6-t5x2t
07:19:21,2,processor-54d87668b6-5s8z7|processor-54d87668b6-t5x2t
07:19:27,2,processor-54d87668b6-5s8z7|processor-54d87668b6-t5x2t
07:19:32,2,processor-54d87668b6-5s8z7|processor-54d87668b6-t5x2t
07:19:37,2,processor-54d87668b6-5s8z7|processor-54d87668b6-t5x2t
07:19:43,2,processor-54d87668b6-5s8z7|processor-54d87668b6-t5x2t
07:19:49,2,processor-54d87668b6-5s8z7|processor-54d87668b6-t5x2t
07:19:55,2,processor-54d87668b6-5s8z7|processor-54d87668b6-t5x2t
07:20:00,2,processor-54d87668b6-5s8z7|processor-54d87668b6-t5x2t
07:20:05,2,processor-54d87668b6-5s8z7|processor-54d87668b6-t5x2t
07:20:11,2,processor-54d87668b6-5s8z7|processor-54d87668b6-t5x2t
07:20:17,2,processor-54d87668b6-t5x2t
07:20:23,1,processor-54d87668b6-4msnn|processor-54d87668b6-t5x2t
07:20:29,1,processor-54d87668b6-4msnn|processor-54d87668b6-t5x2t
07:20:34,2,processor-54d87668b6-4msnn|processor-54d87668b6-t5x2t
07:20:40,2,processor-54d87668b6-4msnn|processor-54d87668b6-t5x2t
07:20:47,2,processor-54d87668b6-4msnn|processor-54d87668b6-t5x2t
07:20:52,2,processor-54d87668b6-4msnn|processor-54d87668b6-t5x2t
07:20:57,2,processor-54d87668b6-4msnn|processor-54d87668b6-t5x2t
07:21:03,2,processor-54d87668b6-4msnn|processor-54d87668b6-t5x2t
07:21:09,2,processor-54d87668b6-4msnn|processor-54d87668b6-t5x2t
07:21:16,2,processor-54d87668b6-4msnn|processor-54d87668b6-t5x2t
07:21:22,2,processor-54d87668b6-4msnn|processor-54d87668b6-t5x2t
07:21:28,2,processor-54d87668b6-4msnn|processor-54d87668b6-t5x2t
07:21:34,2,processor-54d87668b6-4msnn|processor-54d87668b6-t5x2t
07:21:41,2,processor-54d87668b6-4msnn|processor-54d87668b6-t5x2t
07:21:47,2,processor-54d87668b6-4msnn|processor-54d87668b6-t5x2t
07:21:52,2,processor-54d87668b6-4msnn|processor-54d87668b6-t5x2t
07:21:58,2,processor-54d87668b6-4msnn|processor-54d87668b6-t5x2t
07:22:03,2,processor-54d87668b6-4msnn|processor-54d87668b6-t5x2t
07:22:08,2,processor-54d87668b6-4msnn|processor-54d87668b6-t5x2t
07:22:14,2,processor-54d87668b6-4msnn|processor-54d87668b6-t5x2t
07:22:19,2,processor-54d87668b6-4msnn|processor-54d87668b6-t5x2t
07:22:25,2,processor-54d87668b6-4msnn|processor-54d87668b6-t5x2t
07:22:30,2,processor-54d87668b6-4msnn|processor-54d87668b6-t5x2t
07:22:36,2,processor-54d87668b6-4msnn|processor-54d87668b6-t5x2t
