ts_unix,pod,cpu_m,mem_mi
1788851926,processor-54d87668b6-5s8z7,6,38
1788851931,processor-54d87668b6-5s8z7,6,38
1788851936,processor-54d87668b6-5s8z7,6,38
1788851936,processor-54d87668b6-t5x2t,6,35
1788851941,processor-54d87668b6-5s8z7,6,38
1788851941,processor-54d87668b6-t5x2t,6,35
1788851947,processor-54d87668b6-5s8z7,329,38
1788851947,processor-54d87668b6-t5x2t,554,35
1788851952,processor-54d87668b6-5s8z7,329,38
1788851952,processor-54d87668b6-t5x2t,554,35
1788851957,processor-54d87668b6-5s8z7,329,38
1788851957,processor-54d87668b6-t5x2t,554,35
1788851962,processor-54d87668b6-5s8z7,610,39
1788851962,processor-54d87668b6-t5x2t,689,35
1788851967,processor-54d87668b6-5s8z7,610,39
1788851967,processor-54d87668b6-t5x2t,689,35
1788851973,processor-54d87668b6-5s8z7,610,39
1788851973,processor-54d87668b6-t5x2t,689,35
1788851978,processor-54d87668b6-5s8z7,652,39
1788851978,processor-54d87668b6-t5x2t,631,36
1788851983,processor-54d87668b6-5s8z7,652,39
1788851983,processor-54d87668b6-t5x2t,631,36
1788851988,processor-54d87668b6-5s8z7,652,39
1788851988,processor-54d87668b6-t5x2t,631,36
1788851994,processor-54d87668b6-5s8z7,623,39
1788851994,processor-54d87668b6-t5x2t,743,36
1788851999,processor-54d87668b6-5s8z7,623,39
1788851999,processor-54d87668b6-t5x2t,743,36
1788852004,processor-54d87668b6-5s8z7,623,39
1788852004,processor-54d87668b6-t5x2t,743,36
1788852010,processor-54d87668b6-5s8z7,638,39
1788852010,processor-54d87668b6-t5x2t,743,36
1788852016,processor-54d87668b6-5s8z7,638,39
1788852016,processor-54d87668b6-t5x2t,743,36
1788852021,processor-54d87668b6-t5x2t,743,36
1788852026,processor-54d87668b6-t5x2t,710,36
1788852032,processor-54d87668b6-t5x2t,710,36
1788852037,processor-54d87668b6-4msnn,657,36
1788852037,processor-54d87668b6-t5x2t,624,36
1788852042,processor-54d87668b6-4msnn,657,36
1788852042,processor-54d87668b6-t5x2t,624,36
1788852048,processor-54d87668b6-4msnn,657,36
1788852048,processor-54d87668b6-t5x2t,624,36
1788852053,processor-54d87668b6-4msnn,664,36
1788852053,processor-54d87668b6-t5x2t,645,36
1788852058,processor-54d87668b6-4msnn,664,36
1788852058,processor-54d87668b6-t5x2t,645,36
1788852063,processor-54d87668b6-4msnn,664,36
1788852063,processor-54d87668b6-t5x2t,645,36
1788852069,processor-54d87668b6-4msnn,633,36
1788852069,processor-54d87668b6-t5x2t,708,36
1788852074,processor-54d87668b6-4msnn,633,36
1788852074,processor-54d87668b6-t5x2t,708,36
1788852079,processor-54d87668b6-4msnn,633,36
1788852079,processor-54d87668b6-t5x2t,708,36
1788852084,processor-54d87668b6-4msnn,671,36
1788852084,processor-54d87668b6-t5x2t,697,36
1788852090,processor-54d87668b6-4msnn,671,36
1788852090,processor-54d87668b6-t5x2t,697,36
1788852095,processor-54d87668b6-4msnn,671,36
1788852095,processor-54d87668b6-t5x2t,697,36
1788852100,processor-54d87668b6-4msnn,671,36
1788852100,processor-54d87668b6-t5x2t,712,36
1788852106,processor-54d87668b6-4msnn,671,36
1788852106,processor-54d87668b6-t5x2t,712,36
1788852111,processor-54d87668b6-4msnn,663,36
1788852111,processor-54d87668b6-t5x2t,712,36
1788852116,processor-54d87668b6-4msnn,663,36
1788852116,processor-54d87668b6-t5x2t,712,36
1788852122,processor-54d87668b6-4msnn,663,36
1788852122,processor-54d87668b6-t5x2t,712,36
1788852127,processor-54d87668b6-4msnn,663,36
1788852127,processor-54d87668b6-t5x2t,718,36
1788852132,processor-54d87668b6-4msnn,663,36
1788852132,processor-54d87668b6-t5x2t,718,36
1788852137,processor-54d87668b6-4msnn,663,36
1788852137,processor-54d87668b6-t5x2t,718,36
1788852142,processor-54d87668b6-4msnn,380,36
1788852142,processor-54d87668b6-t5x2t,801,36
1788852148,processor-54d87668b6-4msnn,380,36
1788852148,processor-54d87668b6-t5x2t,801,36
1788852153,processor-54d87668b6-4msnn,380,36
1788852153,processor-54d87668b6-t5x2t,801,36
1788852158,processor-54d87668b6-4msnn,6,36
1788852158,processor-54d87668b6-t5x2t,397,36
