ts,ready_replicas,pods
07:25:07,2,processor-56448944b4-jdjpn|processor-56448944b4-lpr95
07:25:12,2,processor-56448944b4-jdjpn|processor-56448944b4-lpr95
07:25:17,2,processor-56448944b4-jdjpn|processor-56448944b4-lpr95
07:25:23,2,processor-56448944b4-jdjpn|processor-56448944b4-lpr95
07:25:28,2,processor-56448944b4-jdjpn|processor-56448944b4-lpr95
07:25:34,2,processor-56448944b4-jdjpn|processor-56448944b4-lpr95
07:25:40,2,processor-56448944b4-jdjpn|processor-56448944b4-lpr95
07:25:46,2,processor-56448944b4-jdjpn|processor-56448944b4-lpr95
07:25:52,2,processor-56448944b4-jdjpn|processor-56448944b4-lpr95
07:25:57,2,processor-56448944b4-jdjpn|processor-56448944b4-lpr95
07:26:03,2,processor-56448944b4-jdjpn|processor-56448944b4-lpr95
07:26:09,2,processor-56448944b4-jdjpn|processor-56448944b4-lpr95
07:26:15,2,processor-56448944b4-jdjpn|processor-56448944b4-lpr95
07:26:20,2,processor-56448944b4-jdjpn|processor-56448944b4-lpr95
07:26:25,2,processor-56448944b4-jdjpn|processor-56448944b4-lpr95
07:26:31,2,processor-56448944b4-jdjpn|processor-56448944b4-lpr95
07:26:37,2,processor-56448944b4-jdjpn|processor-56448944b4-lpr95
07:26:43,1,processor-56448944b4-8gl8s|processor-56448944b4-lpr95
07:26:48,1,processor-56448944b4-8gl8s|processor-56448944b4-lpr95
07:26:54,2,processor-56448944b4-8gl8s|processor-56448944b4-lpr95
07:26:59,2,processor-56448944b4-8gl8s|processor-56448944b4-lpr95
07:27:05,2,processor-56448944b4-8gl8s|processor-56448944b4-lpr95
07:27:11,2,processor-56448944b4-8gl8s|processor-56448944b4-lpr95
07:27:16,2,processor-56448944b4-8gl8s|processor-56448944b4-lpr95
07:27:22,2,processor-56448944b4-8gl8s|processor-56448944b4-lpr95
07:27:28,2,processor-56448944b4-8gl8s|processor-56448944b4-lpr95
07:27:33,2,processor-56448944b4-8gl8s|processor-56448944b4-lpr95
07:27:39,2,processor-56448944b4-8gl8s|processor-56448944b4-lpr95
07:27:44,2,processor-56448944b4-8gl8s|processor-56448944b4-lpr95
07:27:50,2,processor-56448944b4-8gl8s|processor-56448944b4-lpr95
07:27:55,2,processor-56448944b4-8gl8s|processor-56448944b4-lpr95
07:28:01,2,processor-56448944b4-8gl8s|processor-56448944b4-lpr95
07:28:07,2,processor-56448944b4-8gl8s|processor-56448944b4-lpr95
07:28:13,2,processor-56448944b4-8gl8s|processor-56448944b4-lpr95
07:28:19,2,processor-56448944b4-8gl8s|processor-56448944b4-lpr95
07:28:24,2,processor-56448944b4-8gl8s|processor-56448944b4-lpr95
07:28:30,2,processor-56448944b4-8gl8s|processor-56448944b4-lpr95
07:28:35,2,processor-56448944b4-8gl8s|processor-56448944b4-lpr95
07:28:40,2,processor-56448944b4-8gl8s|processor-56448944b4-lpr95
07:28:46,2,processor-56448944b4-8gl8s|processor-56448944b4-lpr95
07:28:51,2,processor-56448944b4-8gl8s|processor-56448944b4-lpr95
07:28:57,2,processor-56448944b4-8gl8s|processor-56448944b4-lpr95
