ts,ready_replicas,keda_metric,cpu_pct
07:54:18,1,0,
07:54:23,1,0,
07:54:29,1,0,
07:54:35,1,0,
07:54:40,1,0,
07:54:46,1,59997m,84
07:54:51,1,59997m,84
07:54:56,1,59997m,84
07:55:02,2,41725m,100
07:55:08,2,41725m,100
07:55:14,2,51487m,99
07:55:20,2,51487m,99
07:55:26,2,51487m,99
07:55:31,2,66378m,98
07:55:36,2,66378m,98
07:55:42,2,66378m,98
07:55:47,2,72010m,98
07:55:53,2,72010m,98
07:55:58,2,80602m,93
07:56:04,2,80602m,93
07:56:09,2,80602m,93
07:56:15,3,55901m,93
07:56:21,3,55901m,93
07:56:26,3,55901m,93
07:56:32,3,57705m,87
07:56:38,3,57705m,87
07:56:43,3,60456m,82
07:56:49,3,60456m,82
07:56:54,3,60456m,82
07:56:59,3,61496m,82
07:57:05,3,61496m,82
07:57:10,3,61496m,82
07:57:16,3,62362m,81
07:57:22,3,62362m,81
07:57:28,3,62362m,81
07:57:34,3,63684m,84
07:57:39,3,63684m,84
07:57:45,3,47993m,95
07:57:50,4,47993m,95
07:57:56,4,47993m,95
