run,replicas,athletes,target_rate_msg_s,offered,delivered,loss_pct,consumed,acked,write_errors,thr_acked_s,lat_transport_mean_ms,lat_transport_p95_ms,lat_transport_p99_ms,lat_transport_p95worst_ms,lat_persist_mean_ms,lat_persist_p95_ms,lat_persist_p99_ms,lat_persist_p95worst_ms,marcas_atrapadas,desfase_persistencia,cpu_peak_m,cpu_mean_m,mem_peak_mi,mem_mean_mi
R1_N12,1,12,600,47946,21794,54.54,21794,21794,0,123.4,58264.76,64402.11,64467.52,99857.32,413.22,686.6,705.74,1085.06,31,,250.0,242.0,35.0,35.0
R1_N16,1,16,800,63990,25207,60.61,25207,25207,0,154.1,45083.61,56515.49,56583.4,64081.99,396.84,680.44,698.05,810.03,21,,251.0,247.0,36.0,35.1
R1_N4,1,4,200,15885,15863,0.14,13545,13545,0,140.5,165.78,172.47,187.85,217.87,287.14,517.65,540.48,612.68,4,,242.0,223.7,35.0,35.0
R1_N8,1,8,400,32007,24287,24.12,24287,24287,0,137.7,43556.12,46392.93,46479.25,74191.32,388.47,676.7,693.36,942.42,26,,237.0,226.9,35.0,35.0
R2_N12,2,12,600,47946,46371,3.28,46371,46371,0,281.6,18151.68,12486.16,12558.81,68027.22,361.1,636.13,688.26,883.18,47,,486.0,350.1,71.0,70.1
R2_N16,2,16,800,63990,56418,11.83,56418,56418,0,315.8,19614.96,21016.47,21074.61,82456.46,344.72,620.77,672.65,798.44,32,,492.0,355.1,71.0,70.3
R2_N4,2,4,200,15885,15885,0.0,15885,15885,0,164.6,186.43,188.53,203.33,226.54,281.37,514.46,534.96,614.51,4,,289.0,268.8,70.0,70.0
R2_N8,2,8,400,32007,32007,0.0,32007,32007,0,311.8,200.9,199.2,208.97,310.29,294.1,528.12,553.84,591.94,8,,420.0,391.1,70.0,70.0
R4_N12,4,12,600,47946,47946,0.0,47946,47946,0,370.9,6231.3,196.86,212.24,30436.35,390.67,661.78,690.48,1383.67,64,,772.0,665.8,145.0,144.2
R4_N16,4,16,800,63990,63990,0.0,63990,63990,0,490.6,2858.65,216.72,230.88,29749.99,364.09,631.17,677.82,878.69,24,,887.0,763.4,144.0,143.6
R4_N4,4,4,200,15885,15885,0.0,15885,15885,0,161.4,169.55,171.49,173.27,200.84,275.12,507.05,525.9,546.88,1,,288.0,274.2,143.0,143.0
R4_N8,4,8,400,32007,32007,0.0,32007,32007,0,309.0,169.71,172.43,174.22,174.24,285.31,520.24,540.19,561.69,3,,506.0,471.1,143.0,143.0
