ts,ready_replicas,keda_metric,cpu_pct
13:16:23,1,0,
13:16:29,1,0,
13:16:34,1,746m,
13:16:40,1,746m,
13:16:46,1,134674m,80
13:16:52,1,134674m,80
13:16:57,1,134674m,80
13:17:02,1,338748m,100
13:17:09,2,338748m,100
13:17:15,2,338748m,100
13:17:20,2,208303m,100
13:17:26,2,208303m,100
13:17:31,2,208303m,100
13:17:37,3,266871m,99
13:17:44,4,266871m,99
13:17:50,4,144605m,100
13:17:56,4,144605m,100
13:18:01,4,144605m,100
13:18:07,4,161596m,99
13:18:13,4,161596m,99
13:18:18,4,161596m,99
13:18:24,4,167724m,100
13:18:29,4,167724m,100
13:18:35,4,167724m,100
13:18:42,4,178039m,100
13:18:47,4,178039m,100
13:18:53,4,181577m,100
13:18:58,4,181577m,100
13:19:04,4,181577m,100
13:19:13,4,184728m,100
13:19:18,4,184728m,100
13:19:24,4,184728m,100
13:19:29,4,189350m,99
13:19:35,4,189350m,99
13:19:41,4,191157m,99
13:19:47,4,191157m,99
13:19:53,4,191157m,99
13:19:59,4,165723m,100
13:20:04,4,165723m,100
13:20:10,4,137963m,100
13:20:15,4,137963m,100
