ts_unix,pod,cpu_m,mem_mi
1789046183,processor-67575b846-rwmmb,158,40
1789046189,processor-67575b846-rwmmb,158,40
1789046194,processor-67575b846-rwmmb,158,40
1789046199,processor-67575b846-rwmmb,200,40
1789046204,processor-67575b846-rwmmb,200,40
1789046209,processor-67575b846-rwmmb,200,40
1789046215,processor-67575b846-rwmmb,250,40
1789046220,processor-67575b846-rwmmb,250,40
1789046225,processor-67575b846-rwmmb,250,40
1789046230,processor-67575b846-rwmmb,251,40
1789046236,processor-67575b846-rwmmb,251,40
1789046241,processor-67575b846-rwmmb,251,40
1789046246,processor-67575b846-52w7d,250,37
1789046246,processor-67575b846-rwmmb,249,40
1789046251,processor-67575b846-52w7d,250,37
1789046251,processor-67575b846-rwmmb,249,40
1789046256,processor-67575b846-52w7d,250,37
1789046256,processor-67575b846-rwmmb,249,40
1789046262,processor-67575b846-52w7d,250,37
1789046262,processor-67575b846-rwmmb,251,40
1789046268,processor-67575b846-52w7d,250,37
1789046268,processor-67575b846-rwmmb,251,40
1789046273,processor-67575b846-52w7d,250,37
1789046273,processor-67575b846-rwmmb,251,40
1789046278,processor-67575b846-52w7d,247,39
1789046278,processor-67575b846-8jg4d,250,36
1789046278,processor-67575b846-qq4mk,250,35
1789046278,processor-67575b846-rwmmb,249,40
1789046284,processor-67575b846-52w7d,247,39
1789046284,processor-67575b846-8jg4d,250,36
1789046284,processor-67575b846-qq4mk,250,35
1789046284,processor-67575b846-rwmmb,249,40
1789046289,processor-67575b846-52w7d,250,39
1789046289,processor-67575b846-8jg4d,250,36
1789046289,processor-67575b846-qq4mk,251,35
1789046289,processor-67575b846-rwmmb,249,40
1789046294,processor-67575b846-52w7d,250,39
1789046294,processor-67575b846-8jg4d,250,36
1789046294,processor-67575b846-qq4mk,251,35
1789046294,processor-67575b846-rwmmb,249,40
1789046299,processor-67575b846-52w7d,250,39
1789046299,processor-67575b846-8jg4d,250,36
1789046299,processor-67575b846-qq4mk,251,35
1789046299,processor-67575b846-rwmmb,249,40
1789046304,processor-67575b846-52w7d,250,39
1789046304,processor-67575b846-8jg4d,250,36
1789046304,processor-67575b846-qq4mk,250,35
1789046304,processor-67575b846-rwmmb,250,40
1789046309,processor-67575b846-52w7d,250,39
1789046309,processor-67575b846-8jg4d,250,36
1789046309,processor-67575b846-qq4mk,250,35
1789046309,processor-67575b846-rwmmb,250,40
1789046315,processor-67575b846-52w7d,250,39
1789046315,processor-67575b846-8jg4d,250,36
1789046315,processor-67575b846-qq4mk,250,35
1789046315,processor-67575b846-rwmmb,250,40
1789046320,processor-67575b846-52w7d,250,39
1789046320,processor-67575b846-8jg4d,249,36
1789046320,processor-67575b846-qq4mk,250,35
1789046320,processor-67575b846-rwmmb,251,40
1789046326,processor-67575b846-52w7d,250,39
1789046326,processor-67575b846-8jg4d,249,36
1789046326,processor-67575b846-qq4mk,250,35
1789046326,processor-67575b846-rwmmb,251,40
1789046331,processor-67575b846-52w7d,250,39
1789046331,processor-67575b846-8jg4d,249,36
1789046331,processor-67575b846-qq4mk,250,35
1789046331,processor-67575b846-rwmmb,251,40
1789046337,processor-67575b846-52w7d,250,39
1789046337,processor-67575b846-8jg4d,251,36
1789046337,processor-67575b846-qq4mk,250,35
1789046337,processor-67575b846-rwmmb,250,40
1789046342,processor-67575b846-52w7d,250,39
1789046342,processor-67575b846-8jg4d,251,36
1789046342,processor-67575b846-qq4mk,250,35
1789046342,processor-67575b846-rwmmb,250,40
1789046347,processor-67575b846-52w7d,250,39
1789046347,processor-67575b846-8jg4d,251,36
1789046347,processor-67575b846-qq4mk,250,35
1789046347,processor-67575b846-rwmmb,250,40
1789046353,processor-67575b846-52w7d,250,39
1789046353,processor-67575b846-8jg4d,250,36
1789046353,processor-67575b846-qq4mk,251,35
1789046353,processor-67575b846-rwmmb,251,40
1789046358,processor-67575b846-52w7d,250,39
1789046358,processor-67575b846-8jg4d,250,36
1789046358,processor-67575b846-qq4mk,251,35
1789046358,processor-67575b846-rwmmb,251,40
1789046363,processor-67575b846-52w7d,250,39
1789046363,processor-67575b846-8jg4d,250,36
1789046363,processor-67575b846-qq4mk,251,35
1789046363,processor-67575b846-rwmmb,251,40
1789046368,processor-67575b846-52w7d,250,39
1789046368,processor-67575b846-8jg4d,250,36
1789046368,processor-67575b846-qq4mk,249,35
1789046368,processor-67575b846-rwmmb,250,40
1789046374,processor-67575b846-52w7d,250,39
1789046374,processor-67575b846-8jg4d,250,36
1789046374,processor-67575b846-qq4mk,249,35
1789046374,processor-67575b846-rwmmb,250,40
1789046379,processor-67575b846-52w7d,249,39
1789046379,processor-67575b846-8jg4d,249,36
1789046379,processor-67575b846-qq4mk,251,35
1789046379,processor-67575b846-rwmmb,250,40
1789046384,processor-67575b846-52w7d,249,39
1789046384,processor-67575b846-8jg4d,249,36
1789046384,processor-67575b846-qq4mk,251,35
1789046384,processor-67575b846-rwmmb,250,40
1789046389,processor-67575b846-52w7d,249,39
1789046389,processor-67575b846-8jg4d,249,36
1789046389,processor-67575b846-qq4mk,251,35
1789046389,processor-67575b846-rwmmb,250,40
1789046395,processor-67575b846-52w7d,250,39
1789046395,processor-67575b846-8jg4d,250,36
1789046395,processor-67575b846-qq4mk,250,35
1789046395,processor-67575b846-rwmmb,251,40
1789046400,processor-67575b846-52w7d,250,39
1789046400,processor-67575b846-8jg4d,250,36
1789046400,processor-67575b846-qq4mk,250,35
1789046400,processor-67575b846-rwmmb,251,40
1789046405,processor-67575b846-52w7d,250,39
1789046405,processor-67575b846-8jg4d,250,36
1789046405,processor-67575b846-qq4mk,250,35
1789046405,processor-67575b846-rwmmb,251,40
1789046410,processor-67575b846-52w7d,251,39
1789046410,processor-67575b846-8jg4d,251,36
1789046410,processor-67575b846-qq4mk,249,35
1789046410,processor-67575b846-rwmmb,251,40
1789046415,processor-67575b846-52w7d,251,39
1789046415,processor-67575b846-8jg4d,251,36
1789046415,processor-67575b846-qq4mk,249,35
1789046415,processor-67575b846-rwmmb,251,40
