ts,ready_replicas,keda_metric,cpu_pct
13:29:36,1,0,
13:29:42,1,0,
13:29:49,1,794937m,
13:29:55,2,794937m,
13:30:01,2,794937m,
13:30:07,2,399833m,95
13:30:12,2,399833m,95
13:30:18,2,399833m,95
13:30:23,2,400114m,93
13:30:30,2,400114m,93
13:30:36,2,399398m,97
13:30:42,3,399398m,97
13:30:49,3,399398m,97
13:30:55,3,267528m,99
13:31:00,3,267528m,99
13:31:06,3,267528m,99
13:31:11,3,267029m,99
13:31:17,3,267029m,99
13:31:23,3,267029m,99
13:31:28,3,266243m,98
13:31:34,4,266243m,98
13:31:39,4,266243m,98
13:31:45,4,196491m,99
13:31:50,4,196491m,99
13:31:56,4,199892m,99
13:32:01,4,199892m,99
13:32:07,4,199892m,99
13:32:13,4,197617m,99
13:32:19,4,197617m,99
13:32:24,4,197617m,99
13:32:30,4,200219m,99
13:32:35,4,200219m,99
13:32:41,4,198596m,99
13:32:47,4,198596m,99
13:32:52,4,198596m,99
13:32:58,4,199935m,99
13:33:03,4,199935m,99
13:33:09,4,199935m,99
13:33:15,4,959m,98
13:33:21,4,959m,98
13:33:26,4,959m,98
13:33:32,4,959m,86
