ts_unix,pod,cpu_m,mem_mi
1789046982,processor-67575b846-n4bqt,169,35
1789046988,processor-67575b846-n4bqt,169,35
1789046993,processor-67575b846-n4bqt,169,35
1789046999,processor-67575b846-n4bqt,238,35
1789047004,processor-67575b846-n4bqt,238,35
1789047009,processor-67575b846-n4bqt,234,35
1789047009,processor-67575b846-n7mp8,244,35
1789047014,processor-67575b846-n4bqt,234,35
1789047014,processor-67575b846-n7mp8,244,35
1789047020,processor-67575b846-n4bqt,234,35
1789047020,processor-67575b846-n7mp8,244,35
1789047025,processor-67575b846-n4bqt,239,35
1789047025,processor-67575b846-n7mp8,250,35
1789047030,processor-67575b846-n4bqt,239,35
1789047030,processor-67575b846-n7mp8,250,35
1789047036,processor-67575b846-n4bqt,239,35
1789047036,processor-67575b846-n7mp8,250,35
1789047041,processor-67575b846-n4bqt,245,35
1789047041,processor-67575b846-n7mp8,251,35
1789047048,processor-67575b846-n4bqt,245,35
1789047048,processor-67575b846-n7mp8,251,35
1789047053,processor-67575b846-n4bqt,245,35
1789047053,processor-67575b846-n7mp8,251,35
1789047059,processor-67575b846-dkx5m,246,35
1789047059,processor-67575b846-n4bqt,247,35
1789047059,processor-67575b846-n7mp8,250,35
1789047064,processor-67575b846-dkx5m,246,35
1789047064,processor-67575b846-n4bqt,247,35
1789047064,processor-67575b846-n7mp8,250,35
1789047069,processor-67575b846-dkx5m,245,35
1789047069,processor-67575b846-n4bqt,242,35
1789047069,processor-67575b846-n7mp8,251,35
1789047075,processor-67575b846-dkx5m,245,35
1789047075,processor-67575b846-n4bqt,242,35
1789047075,processor-67575b846-n7mp8,251,35
1789047080,processor-67575b846-dkx5m,245,35
1789047080,processor-67575b846-n4bqt,242,35
1789047080,processor-67575b846-n7mp8,251,35
1789047085,processor-67575b846-dkx5m,243,35
1789047085,processor-67575b846-n4bqt,244,35
1789047085,processor-67575b846-n7mp8,249,35
1789047090,processor-67575b846-dkx5m,243,35
1789047090,processor-67575b846-n4bqt,244,35
1789047090,processor-67575b846-n7mp8,249,35
1789047096,processor-67575b846-dkx5m,243,35
1789047096,processor-67575b846-n4bqt,244,35
1789047096,processor-67575b846-n7mp8,249,35
1789047101,processor-67575b846-dkx5m,247,35
1789047101,processor-67575b846-n4bqt,247,35
1789047101,processor-67575b846-n7mp8,250,35
1789047106,processor-67575b846-dkx5m,247,35
1789047106,processor-67575b846-n4bqt,247,35
1789047106,processor-67575b846-n7mp8,250,35
1789047112,processor-67575b846-dkx5m,247,35
1789047112,processor-67575b846-n4bqt,247,35
1789047112,processor-67575b846-n7mp8,250,35
1789047117,processor-67575b846-8l8ps,249,35
1789047117,processor-67575b846-dkx5m,247,35
1789047117,processor-67575b846-n4bqt,251,35
1789047117,processor-67575b846-n7mp8,248,35
1789047122,processor-67575b846-8l8ps,249,35
1789047122,processor-67575b846-dkx5m,247,35
1789047122,processor-67575b846-n4bqt,251,35
1789047122,processor-67575b846-n7mp8,248,35
1789047127,processor-67575b846-8l8ps,249,35
1789047127,processor-67575b846-dkx5m,247,35
1789047127,processor-67575b846-n4bqt,251,35
1789047127,processor-67575b846-n7mp8,248,35
1789047133,processor-67575b846-8l8ps,248,35
1789047133,processor-67575b846-dkx5m,248,35
1789047133,processor-67575b846-n4bqt,244,35
1789047133,processor-67575b846-n7mp8,250,35
1789047138,processor-67575b846-8l8ps,248,35
1789047138,processor-67575b846-dkx5m,248,35
1789047138,processor-67575b846-n4bqt,244,35
1789047138,processor-67575b846-n7mp8,250,35
1789047143,processor-67575b846-8l8ps,248,35
1789047143,processor-67575b846-dkx5m,248,35
1789047143,processor-67575b846-n4bqt,244,35
1789047143,processor-67575b846-n7mp8,250,35
1789047148,processor-67575b846-8l8ps,250,35
1789047148,processor-67575b846-dkx5m,247,35
1789047148,processor-67575b846-n4bqt,244,35
1789047148,processor-67575b846-n7mp8,249,35
1789047154,processor-67575b846-8l8ps,250,35
1789047154,processor-67575b846-dkx5m,247,35
1789047154,processor-67575b846-n4bqt,244,35
1789047154,processor-67575b846-n7mp8,249,35
1789047159,processor-67575b846-8l8ps,249,35
1789047159,processor-67575b846-dkx5m,247,35
1789047159,processor-67575b846-n4bqt,248,35
1789047159,processor-67575b846-n7mp8,249,35
1789047164,processor-67575b846-8l8ps,249,35
1789047164,processor-67575b846-dkx5m,247,35
1789047164,processor-67575b846-n4bqt,248,35
1789047164,processor-67575b846-n7mp8,249,35
1789047169,processor-67575b846-8l8ps,249,35
1789047169,processor-67575b846-dkx5m,247,35
1789047169,processor-67575b846-n4bqt,248,35
1789047169,processor-67575b846-n7mp8,249,35
1789047174,processor-67575b846-8l8ps,250,35
1789047174,processor-67575b846-dkx5m,248,35
1789047174,processor-67575b846-n4bqt,244,35
1789047174,processor-67575b846-n7mp8,249,35
1789047180,processor-67575b846-8l8ps,250,35
1789047180,processor-67575b846-dkx5m,248,35
1789047180,processor-67575b846-n4bqt,244,35
1789047180,processor-67575b846-n7mp8,249,35
1789047185,processor-67575b846-8l8ps,250,35
1789047185,processor-67575b846-dkx5m,248,35
1789047185,processor-67575b846-n4bqt,244,35
1789047185,processor-67575b846-n7mp8,249,35
1789047190,processor-67575b846-8l8ps,251,35
1789047190,processor-67575b846-dkx5m,243,35
