ts,ready_replicas,keda_metric,cpu_pct
13:34:26,1,0,1
13:34:31,1,4101m,
13:34:37,1,4101m,
13:34:48,1,4101m,
13:34:57,1,874978m,55
13:35:03,2,874978m,55
13:35:09,2,401322m,93
13:35:14,2,401322m,93
13:35:20,2,401322m,93
13:35:25,2,401137m,99
13:35:31,4,401137m,99
13:35:36,4,401137m,99
13:35:42,4,205044m,99
13:35:48,4,205044m,99
13:35:54,4,205044m,99
13:35:59,4,200126m,99
13:36:05,4,200126m,99
13:36:11,4,200214m,99
13:36:17,4,200214m,99
13:36:22,4,200214m,99
13:36:28,4,199601m,99
13:36:33,4,199601m,99
13:36:39,4,199601m,99
13:36:45,4,197919m,100
13:36:50,4,197919m,100
13:36:56,4,199985m,100
13:37:02,4,199985m,100
13:37:07,4,199985m,100
13:37:14,4,200620m,99
13:37:19,4,200620m,99
13:37:25,4,200620m,99
13:37:30,4,200044m,100
13:37:36,4,200044m,100
13:37:41,4,200044m,100
13:37:47,4,200806m,100
13:37:53,4,200806m,100
13:37:58,4,200806m,100
13:38:04,4,2797m,99
13:38:09,4,2797m,99
13:38:14,4,2797m,95
13:38:20,4,2797m,95
