ts_unix,pod,cpu_m,mem_mi
1789047266,processor-67575b846-hb6xp,153,34
1789047266,processor-67575b846-nf9fr,205,35
1789047266,processor-67575b846-t4rcr,209,34
1789047271,processor-67575b846-hb6xp,153,34
1789047271,processor-67575b846-nf9fr,205,35
1789047271,processor-67575b846-t4rcr,209,34
1789047276,processor-67575b846-hb6xp,153,34
1789047276,processor-67575b846-nf9fr,205,35
1789047276,processor-67575b846-t4rcr,209,34
1789047285,processor-67575b846-2wcf9,173,35
1789047285,processor-67575b846-hb6xp,3,34
1789047285,processor-67575b846-nf9fr,138,35
1789047285,processor-67575b846-t4rcr,154,35
1789047292,processor-67575b846-2wcf9,173,35
1789047292,processor-67575b846-nf9fr,138,35
1789047299,processor-67575b846-nf9fr,234,35
1789047305,processor-67575b846-nf9fr,234,35
1789047310,processor-67575b846-nf9fr,249,35
1789047315,processor-67575b846-nf9fr,249,35
1789047321,processor-67575b846-nf9fr,249,35
1789047326,processor-67575b846-nf9fr,250,35
1789047326,processor-67575b846-t7mqx,252,35
1789047331,processor-67575b846-nf9fr,250,35
1789047331,processor-67575b846-t7mqx,252,35
1789047336,processor-67575b846-nf9fr,250,35
1789047336,processor-67575b846-t7mqx,252,35
1789047341,processor-67575b846-gswm2,238,35
1789047341,processor-67575b846-nf9fr,249,35
1789047341,processor-67575b846-t7mqx,249,35
1789047341,processor-67575b846-tj5m2,248,34
1789047347,processor-67575b846-gswm2,238,35
1789047347,processor-67575b846-nf9fr,249,35
1789047347,processor-67575b846-t7mqx,249,35
1789047347,processor-67575b846-tj5m2,248,34
1789047352,processor-67575b846-gswm2,238,35
1789047352,processor-67575b846-nf9fr,249,35
1789047352,processor-67575b846-t7mqx,249,35
1789047352,processor-67575b846-tj5m2,248,34
1789047357,processor-67575b846-gswm2,250,35
1789047357,processor-67575b846-nf9fr,251,35
1789047357,processor-67575b846-t7mqx,250,35
1789047357,processor-67575b846-tj5m2,242,35
1789047362,processor-67575b846-gswm2,250,35
1789047362,processor-67575b846-nf9fr,251,35
1789047362,processor-67575b846-t7mqx,250,35
1789047362,processor-67575b846-tj5m2,242,35
1789047368,processor-67575b846-gswm2,250,35
1789047368,processor-67575b846-nf9fr,251,35
1789047368,processor-67575b846-t7mqx,250,35
1789047368,processor-67575b846-tj5m2,242,35
1789047373,processor-67575b846-gswm2,249,35
1789047373,processor-67575b846-nf9fr,249,35
1789047373,processor-67575b846-t7mqx,250,35
1789047373,processor-67575b846-tj5m2,250,35
1789047378,processor-67575b846-gswm2,249,35
1789047378,processor-67575b846-nf9fr,249,35
1789047378,processor-67575b846-t7mqx,250,35
1789047378,processor-67575b846-tj5m2,250,35
1789047384,processor-67575b846-gswm2,249,35
1789047384,processor-67575b846-nf9fr,249,35
1789047384,processor-67575b846-t7mqx,250,35
1789047384,processor-67575b846-tj5m2,249,35
1789047389,processor-67575b846-gswm2,249,35
1789047389,processor-67575b846-nf9fr,249,35
1789047389,processor-67575b846-t7mqx,250,35
1789047389,processor-67575b846-tj5m2,249,35
1789047394,processor-67575b846-gswm2,249,35
1789047394,processor-67575b846-nf9fr,249,35
1789047394,processor-67575b846-t7mqx,250,35
1789047394,processor-67575b846-tj5m2,249,35
1789047399,processor-67575b846-gswm2,249,35
1789047399,processor-67575b846-nf9fr,249,35
1789047399,processor-67575b846-t7mqx,250,35
1789047399,processor-67575b846-tj5m2,252,35
1789047404,processor-67575b846-gswm2,249,35
1789047404,processor-67575b846-nf9fr,249,35
1789047404,processor-67575b846-t7mqx,250,35
1789047404,processor-67575b846-tj5m2,252,35
1789047410,processor-67575b846-gswm2,249,35
1789047410,processor-67575b846-nf9fr,249,35
1789047410,processor-67575b846-t7mqx,250,35
1789047410,processor-67575b846-tj5m2,252,35
1789047415,processor-67575b846-gswm2,251,35
1789047415,processor-67575b846-nf9fr,251,35
1789047415,processor-67575b846-t7mqx,249,35
1789047415,processor-67575b846-tj5m2,250,35
1789047420,processor-67575b846-gswm2,251,35
1789047420,processor-67575b846-nf9fr,251,35
1789047420,processor-67575b846-t7mqx,249,35
1789047420,processor-67575b846-tj5m2,250,35
1789047425,processor-67575b846-gswm2,251,35
1789047425,processor-67575b846-nf9fr,251,35
1789047425,processor-67575b846-t7mqx,249,35
1789047425,processor-67575b846-tj5m2,250,35
1789047431,processor-67575b846-gswm2,248,35
1789047431,processor-67575b846-nf9fr,251,35
1789047431,processor-67575b846-t7mqx,250,35
1789047431,processor-67575b846-tj5m2,250,35
1789047436,processor-67575b846-gswm2,248,35
1789047436,processor-67575b846-nf9fr,251,35
1789047436,processor-67575b846-t7mqx,250,35
1789047436,processor-67575b846-tj5m2,250,35
1789047441,processor-67575b846-gswm2,248,35
1789047441,processor-67575b846-nf9fr,251,35
1789047441,processor-67575b846-t7mqx,250,35
1789047441,processor-67575b846-tj5m2,250,35
1789047447,processor-67575b846-gswm2,251,35
1789047447,processor-67575b846-nf9fr,250,35
1789047447,processor-67575b846-t7mqx,250,35
1789047447,processor-67575b846-tj5m2,251,35
1789047452,processor-67575b846-gswm2,251,35
1789047452,processor-67575b846-nf9fr,250,35
1789047452,processor-67575b846-t7mqx,250,35
1789047452,processor-67575b846-tj5m2,251,35
1789047457,processor-67575b846-gswm2,251,35
1789047457,processor-67575b846-nf9fr,250,35
1789047457,processor-67575b846-t7mqx,250,35
1789047457,processor-67575b846-tj5m2,251,35
1789047462,processor-67575b846-gswm2,249,35
1789047462,processor-67575b846-nf9fr,251,35
1789047462,processor-67575b846-t7mqx,249,35
1789047462,processor-67575b846-tj5m2,251,35
1789047467,processor-67575b846-gswm2,249,35
1789047467,processor-67575b846-nf9fr,251,35
