ts,ready_replicas,keda_metric,cpu_pct
13:45:20,1,0,
13:45:25,1,0,
13:45:30,1,0,
13:45:36,1,801556m,
13:45:41,2,801556m,
13:45:47,2,801556m,
13:45:53,2,399844m,106
13:45:58,2,399844m,106
13:46:04,2,399844m,106
13:46:09,2,399596m,99
13:46:15,4,399596m,99
13:46:21,4,200787m,100
13:46:27,4,200787m,100
13:46:33,4,200787m,100
13:46:39,4,200530m,99
13:46:45,4,200530m,99
13:46:51,4,200530m,99
13:46:56,4,199678m,100
13:47:02,4,199678m,100
13:47:07,4,201998m,99
13:47:13,4,201998m,99
13:47:19,4,201998m,99
13:47:24,4,200351m,99
13:47:30,4,200351m,99
13:47:35,4,200351m,99
13:47:41,4,200052m,100
13:47:48,4,200052m,100
13:47:54,4,200052m,100
13:47:59,4,200134m,99
13:48:05,4,200134m,99
13:48:11,4,197789m,100
13:48:17,4,197789m,100
13:48:23,4,197789m,100
13:48:28,4,190651m,99
13:48:34,4,190651m,99
13:48:40,4,190651m,99
13:48:46,4,165494m,99
13:48:51,4,165494m,99
13:48:57,4,957m,99
13:49:02,4,957m,99
13:49:07,4,957m,99
13:49:13,4,957m,100
