ts_unix,pod,cpu_m,mem_mi
1789048200,processor-67575b846-4wtq2,232,34
1789048200,processor-67575b846-n6j2m,211,34
1789048205,processor-67575b846-4wtq2,232,34
1789048205,processor-67575b846-n6j2m,211,34
1789048210,processor-67575b846-4wtq2,116,35
1789048210,processor-67575b846-n6j2m,202,34
1789048210,processor-67575b846-vcdmv,213,34
1789048210,processor-67575b846-w96g6,197,34
1789048216,processor-67575b846-4wtq2,116,35
1789048216,processor-67575b846-n6j2m,202,34
1789048216,processor-67575b846-vcdmv,213,34
1789048216,processor-67575b846-w96g6,197,34
1789048222,processor-67575b846-4wtq2,116,35
1789048222,processor-67575b846-n6j2m,202,34
1789048222,processor-67575b846-w96g6,197,34
1789048227,processor-67575b846-n6j2m,127,35
1789048227,processor-67575b846-wtpw2,244,35
1789048233,processor-67575b846-n6j2m,127,35
1789048233,processor-67575b846-wtpw2,244,35
1789048240,processor-67575b846-n6j2m,165,35
1789048240,processor-67575b846-wtpw2,205,35
1789048246,processor-67575b846-n6j2m,165,35
1789048246,processor-67575b846-wtpw2,205,35
1789048251,processor-67575b846-n6j2m,165,35
1789048251,processor-67575b846-wtpw2,205,35
1789048256,processor-67575b846-66c6x,241,34
1789048256,processor-67575b846-fk6kv,245,35
1789048256,processor-67575b846-n6j2m,250,35
1789048256,processor-67575b846-wtpw2,251,35
1789048261,processor-67575b846-66c6x,241,34
1789048261,processor-67575b846-fk6kv,245,35
1789048261,processor-67575b846-n6j2m,250,35
1789048261,processor-67575b846-wtpw2,251,35
1789048267,processor-67575b846-66c6x,241,34
1789048267,processor-67575b846-fk6kv,245,35
1789048267,processor-67575b846-n6j2m,250,35
1789048267,processor-67575b846-wtpw2,251,35
1789048272,processor-67575b846-66c6x,241,35
1789048272,processor-67575b846-fk6kv,251,35
1789048272,processor-67575b846-n6j2m,251,35
1789048272,processor-67575b846-wtpw2,249,35
1789048277,processor-67575b846-66c6x,241,35
1789048277,processor-67575b846-fk6kv,251,35
1789048277,processor-67575b846-n6j2m,251,35
1789048277,processor-67575b846-wtpw2,249,35
1789048283,processor-67575b846-66c6x,241,35
1789048283,processor-67575b846-fk6kv,251,35
1789048283,processor-67575b846-n6j2m,251,35
1789048283,processor-67575b846-wtpw2,249,35
1789048288,processor-67575b846-66c6x,250,35
1789048288,processor-67575b846-fk6kv,251,35
1789048288,processor-67575b846-n6j2m,250,35
1789048288,processor-67575b846-wtpw2,250,35
1789048293,processor-67575b846-66c6x,250,35
1789048293,processor-67575b846-fk6kv,251,35
1789048293,processor-67575b846-n6j2m,250,35
1789048293,processor-67575b846-wtpw2,250,35
1789048298,processor-67575b846-66c6x,250,35
1789048298,processor-67575b846-fk6kv,251,35
1789048298,processor-67575b846-n6j2m,250,35
1789048298,processor-67575b846-wtpw2,250,35
1789048304,processor-67575b846-66c6x,249,35
1789048304,processor-67575b846-fk6kv,250,35
1789048304,processor-67575b846-n6j2m,250,35
1789048304,processor-67575b846-wtpw2,248,35
1789048309,processor-67575b846-66c6x,249,35
1789048309,processor-67575b846-fk6kv,250,35
1789048309,processor-67575b846-n6j2m,250,35
1789048309,processor-67575b846-wtpw2,248,35
1789048314,processor-67575b846-66c6x,249,35
1789048314,processor-67575b846-fk6kv,250,35
1789048314,processor-67575b846-n6j2m,250,35
