ts,ready_replicas,keda_metric,cpu_pct
13:59:46,1,0,1
13:59:51,1,0,
13:59:57,1,0,
14:00:02,1,0,
14:00:09,1,160925m,9
14:00:16,1,160925m,9
14:00:21,1,326562m,90
14:00:28,2,326562m,90
14:00:33,2,326562m,90
14:00:39,2,224662m,100
14:00:46,2,224662m,100
14:00:52,2,224662m,100
14:00:57,2,270106m,100
14:01:03,3,270106m,100
14:01:08,3,270106m,100
14:01:14,3,195788m,100
14:01:20,3,195788m,100
14:01:26,3,195788m,100
14:01:31,3,214159m,100
14:01:38,4,214159m,100
14:01:44,4,170954m,98
14:01:49,4,170954m,98
14:01:55,4,170954m,98
14:02:01,4,176094m,85
14:02:06,4,176094m,85
14:02:13,4,176094m,85
14:02:18,4,182290m,90
14:02:24,4,182290m,90
14:02:29,4,182290m,90
14:02:35,4,185500m,99
14:02:40,4,185500m,99
14:02:47,4,189258m,99
14:02:52,4,189258m,99
14:02:58,4,189258m,99
14:03:04,4,192042m,98
14:03:10,4,192042m,98
14:03:16,4,175425m,99
14:03:23,4,175425m,99
14:03:28,4,175425m,99
14:03:34,4,130026m,93
14:03:39,4,130026m,93
