ts_unix,pod,cpu_m,mem_mi
1789049066,processor-67575b846-bfw6l,211,34
1789049066,processor-67575b846-jn2vx,223,34
1789049066,processor-67575b846-lqjvg,175,34
1789049066,processor-67575b846-xlt2k,180,34
1789049071,processor-67575b846-bfw6l,211,34
1789049071,processor-67575b846-jn2vx,223,34
1789049071,processor-67575b846-lqjvg,175,34
1789049071,processor-67575b846-xlt2k,180,34
1789049076,processor-67575b846-bfw6l,211,34
1789049076,processor-67575b846-jn2vx,223,34
1789049076,processor-67575b846-lqjvg,175,34
1789049076,processor-67575b846-xlt2k,180,34
1789049082,processor-67575b846-bfw6l,170,34
1789049082,processor-67575b846-jn2vx,100,35
1789049082,processor-67575b846-lqjvg,175,34
1789049082,processor-67575b846-xlt2k,180,34
1789049087,processor-67575b846-bfw6l,170,34
1789049087,processor-67575b846-lqjvg,175,34
1789049087,processor-67575b846-xlt2k,180,34
1789049093,processor-67575b846-lqjvg,175,34
1789049098,processor-67575b846-lqjvg,106,35
1789049103,processor-67575b846-lqjvg,106,35
1789049108,processor-67575b846-lqjvg,213,35
1789049114,processor-67575b846-lqjvg,213,35
1789049119,processor-67575b846-lqjvg,213,35
1789049124,processor-67575b846-cr6zp,250,35
1789049124,processor-67575b846-lqjvg,249,35
1789049129,processor-67575b846-cr6zp,250,35
1789049129,processor-67575b846-lqjvg,249,35
1789049134,processor-67575b846-cr6zp,250,35
1789049134,processor-67575b846-lqjvg,249,35
1789049140,processor-67575b846-cr6zp,252,35
1789049140,processor-67575b846-lqjvg,251,35
1789049146,processor-67575b846-cr6zp,252,35
1789049146,processor-67575b846-lqjvg,251,35
1789049151,processor-67575b846-cr6zp,252,35
1789049151,processor-67575b846-lqjvg,251,35
1789049156,processor-67575b846-cr6zp,250,35
1789049156,processor-67575b846-lqjvg,250,35
1789049161,processor-67575b846-cr6zp,250,35
1789049161,processor-67575b846-lqjvg,250,35
1789049167,processor-67575b846-cr6zp,250,35
1789049167,processor-67575b846-lqjvg,250,35
1789049172,processor-67575b846-cr6zp,248,35
1789049172,processor-67575b846-lqjvg,250,35
1789049172,processor-67575b846-snl62,249,35
1789049177,processor-67575b846-cr6zp,248,35
1789049177,processor-67575b846-lqjvg,250,35
1789049177,processor-67575b846-snl62,249,35
1789049182,processor-67575b846-cr6zp,248,35
1789049182,processor-67575b846-lqjvg,250,35
1789049182,processor-67575b846-snl62,249,35
1789049188,processor-67575b846-cr6zp,251,35
1789049188,processor-67575b846-lqjvg,248,35
1789049188,processor-67575b846-snl62,245,35
1789049193,processor-67575b846-cr6zp,251,35
1789049193,processor-67575b846-lqjvg,248,35
1789049193,processor-67575b846-snl62,245,35
1789049198,processor-67575b846-cr6zp,251,35
1789049198,processor-67575b846-lqjvg,248,35
1789049198,processor-67575b846-snl62,245,35
1789049204,processor-67575b846-cr6zp,249,35
1789049204,processor-67575b846-lqjvg,250,35
1789049204,processor-67575b846-ngt5h,248,35
1789049204,processor-67575b846-snl62,250,35
1789049209,processor-67575b846-cr6zp,249,35
1789049209,processor-67575b846-lqjvg,250,35
1789049209,processor-67575b846-ngt5h,248,35
1789049209,processor-67575b846-snl62,250,35
1789049215,processor-67575b846-cr6zp,249,35
1789049215,processor-67575b846-lqjvg,236,35
1789049215,processor-67575b846-ngt5h,204,35
1789049215,processor-67575b846-snl62,241,35
1789049220,processor-67575b846-cr6zp,249,35
1789049220,processor-67575b846-lqjvg,236,35
1789049220,processor-67575b846-ngt5h,204,35
1789049220,processor-67575b846-snl62,241,35
1789049225,processor-67575b846-cr6zp,249,35
1789049225,processor-67575b846-lqjvg,236,35
1789049225,processor-67575b846-ngt5h,204,35
1789049225,processor-67575b846-snl62,241,35
1789049231,processor-67575b846-cr6zp,212,35
1789049231,processor-67575b846-lqjvg,208,35
1789049231,processor-67575b846-ngt5h,205,35
1789049231,processor-67575b846-snl62,208,35
1789049236,processor-67575b846-cr6zp,212,35
1789049236,processor-67575b846-lqjvg,208,35
1789049236,processor-67575b846-ngt5h,205,35
1789049236,processor-67575b846-snl62,208,35
1789049242,processor-67575b846-cr6zp,212,35
1789049242,processor-67575b846-lqjvg,208,35
1789049242,processor-67575b846-ngt5h,205,35
1789049242,processor-67575b846-snl62,208,35
1789049247,processor-67575b846-cr6zp,203,35
1789049247,processor-67575b846-lqjvg,225,35
1789049247,processor-67575b846-ngt5h,210,35
1789049247,processor-67575b846-snl62,223,35
1789049252,processor-67575b846-cr6zp,203,35
1789049252,processor-67575b846-lqjvg,225,35
1789049252,processor-67575b846-ngt5h,210,35
1789049252,processor-67575b846-snl62,223,35
1789049257,processor-67575b846-cr6zp,203,35
1789049257,processor-67575b846-lqjvg,225,35
1789049257,processor-67575b846-ngt5h,210,35
1789049257,processor-67575b846-snl62,223,35
1789049263,processor-67575b846-cr6zp,240,35
1789049263,processor-67575b846-lqjvg,250,35
1789049263,processor-67575b846-ngt5h,246,35
1789049263,processor-67575b846-snl62,243,35
1789049268,processor-67575b846-cr6zp,240,35
1789049268,processor-67575b846-lqjvg,250,35
1789049268,processor-67575b846-ngt5h,246,35
1789049268,processor-67575b846-snl62,243,35
1789049274,processor-67575b846-cr6zp,250,35
1789049274,processor-67575b846-lqjvg,251,35
1789049274,processor-67575b846-ngt5h,250,35
1789049274,processor-67575b846-snl62,251,35
1789049279,processor-67575b846-cr6zp,250,35
1789049279,processor-67575b846-lqjvg,251,35
1789049279,processor-67575b846-ngt5h,250,35
1789049279,processor-67575b846-snl62,251,35
1789049284,processor-67575b846-cr6zp,250,35
1789049284,processor-67575b846-lqjvg,251,35
1789049284,processor-67575b846-ngt5h,250,35
1789049284,processor-67575b846-snl62,251,35
1789049289,processor-67575b846-cr6zp,249,35
1789049289,processor-67575b846-lqjvg,248,35
1789049289,processor-67575b846-ngt5h,116,35
1789049289,processor-67575b846-snl62,251,35
1789049294,processor-67575b846-cr6zp,249,35
1789049294,processor-67575b846-lqjvg,248,35
1789049294,processor-67575b846-ngt5h,116,35
1789049294,processor-67575b846-snl62,251,35
1789049299,processor-67575b846-cr6zp,249,35
1789049299,processor-67575b846-lqjvg,248,35
1789049299,processor-67575b846-ngt5h,116,35
1789049299,processor-67575b846-snl62,251,35
