ts,ready_replicas,keda_metric,cpu_pct
14:26:19,1,0,
14:26:25,1,0,
14:26:30,1,0,
14:26:36,1,796743m,
14:26:43,2,796743m,
14:26:48,2,796743m,
14:26:54,2,400068m,359
14:27:00,2,400068m,359
14:27:06,2,399037m,271
14:27:13,2,399037m,271
14:27:22,4,193637m,279
14:27:28,4,193637m,279
14:27:34,4,193637m,279
14:27:39,4,199752m,279
14:27:45,4,199752m,279
14:27:51,4,199752m,279
14:27:57,4,199433m,102
14:28:03,4,199433m,102
14:28:08,4,199433m,102
14:28:14,4,201933m,128
14:28:20,4,201933m,128
14:28:25,4,199418m,113
14:28:31,4,199418m,113
14:28:36,4,199418m,113
14:28:42,4,198753m,124
14:28:48,4,198753m,124
14:28:55,4,198753m,124
14:29:01,4,200776m,107
14:29:07,4,200776m,107
14:29:12,4,199584m,118
14:29:18,4,199584m,118
14:29:24,4,199584m,118
14:29:30,4,201137m,144
14:29:35,4,201137m,144
14:29:41,4,201137m,144
14:29:48,4,151218m,122
14:29:58,4,151218m,122
14:30:04,4,84m,206
14:30:09,4,84m,206
