ts_unix,pod,cpu_m,mem_mi
1789050385,processor-79945475-czhbs,135,34
1789050390,processor-79945475-czhbs,135,34
1789050395,processor-79945475-czhbs,135,34
1789050401,processor-79945475-czhbs,718,35
1789050407,processor-79945475-czhbs,718,35
1789050412,processor-79945475-czhbs,718,35
1789050418,processor-79945475-czhbs,543,35
1789050423,processor-79945475-czhbs,543,35
1789050428,processor-79945475-czhbs,543,35
1789050436,processor-79945475-czhbs,533,35
1789050436,processor-79945475-tzdjz,583,35
1789050442,processor-79945475-czhbs,533,35
1789050442,processor-79945475-tzdjz,583,35
1789050448,processor-79945475-czhbs,533,35
1789050448,processor-79945475-kk9pj,342,35
1789050448,processor-79945475-tzdjz,583,35
1789050448,processor-79945475-ztt2v,352,35
1789050453,processor-79945475-czhbs,533,35
1789050453,processor-79945475-kk9pj,342,35
1789050453,processor-79945475-tzdjz,583,35
1789050453,processor-79945475-ztt2v,352,35
1789050459,processor-79945475-czhbs,142,35
1789050459,processor-79945475-kk9pj,250,35
1789050459,processor-79945475-tzdjz,199,35
1789050459,processor-79945475-ztt2v,230,35
1789050464,processor-79945475-czhbs,142,35
1789050464,processor-79945475-kk9pj,250,35
1789050464,processor-79945475-tzdjz,199,35
1789050464,processor-79945475-ztt2v,230,35
1789050469,processor-79945475-czhbs,142,35
1789050469,processor-79945475-kk9pj,250,35
1789050469,processor-79945475-tzdjz,199,35
1789050469,processor-79945475-ztt2v,230,35
1789050475,processor-79945475-czhbs,267,35
1789050475,processor-79945475-kk9pj,250,35
1789050475,processor-79945475-tzdjz,292,35
1789050475,processor-79945475-ztt2v,229,35
1789050480,processor-79945475-czhbs,267,35
1789050480,processor-79945475-kk9pj,250,35
1789050480,processor-79945475-tzdjz,292,35
1789050480,processor-79945475-ztt2v,229,35
1789050485,processor-79945475-czhbs,267,35
1789050485,processor-79945475-kk9pj,250,35
1789050485,processor-79945475-tzdjz,292,35
1789050485,processor-79945475-ztt2v,229,35
1789050491,processor-79945475-czhbs,261,35
1789050491,processor-79945475-kk9pj,262,35
1789050491,processor-79945475-tzdjz,238,35
1789050491,processor-79945475-ztt2v,270,35
1789050496,processor-79945475-czhbs,261,35
1789050496,processor-79945475-kk9pj,262,35
1789050496,processor-79945475-tzdjz,238,35
1789050496,processor-79945475-ztt2v,270,35
1789050502,processor-79945475-czhbs,261,35
1789050502,processor-79945475-kk9pj,262,35
1789050502,processor-79945475-tzdjz,238,35
1789050502,processor-79945475-ztt2v,270,35
1789050507,processor-79945475-czhbs,239,35
1789050507,processor-79945475-kk9pj,212,35
