ts,ready_replicas,keda_metric,cpu_pct
15:06:52,1,0,0
15:06:57,1,2424m,0
15:07:03,1,2424m,0
15:07:09,1,2424m,0
15:07:15,2,800094m,105
15:07:20,2,800094m,105
15:07:26,2,399779m,189
15:07:32,2,399779m,189
15:07:37,2,399779m,189
15:07:43,2,398973m,153
15:07:48,2,398973m,153
15:07:53,2,398973m,153
15:07:59,3,399791m,156
15:08:04,4,399791m,156
15:08:10,4,399791m,156
15:08:16,4,200049m,157
15:08:21,4,200049m,157
15:08:27,4,200183m,103
15:08:32,4,200183m,103
15:08:38,4,200183m,103
15:08:43,4,199958m,82
15:08:49,4,199958m,82
15:08:54,4,199958m,82
15:09:00,4,199909m,80
15:09:06,4,199909m,80
15:09:12,4,200065m,84
15:09:17,4,200065m,84
15:09:23,4,200065m,84
15:09:28,4,199908m,81
15:09:34,4,199908m,81
15:09:39,4,199908m,81
15:09:44,4,224389m,79
15:09:50,4,224389m,79
15:09:55,4,224389m,79
15:10:01,4,200079m,81
15:10:06,4,200079m,81
15:10:11,4,200079m,81
15:10:17,4,174027m,81
15:10:23,4,174027m,81
15:10:28,4,1854m,73
15:10:33,4,1854m,73
15:10:39,4,1854m,73
15:10:44,4,1854m,9
