ts_unix,pod,nodo,cpu_m,mem_mi
1789070695,processor-79945475-f9bzw,hyrox-worker,80,35
1789070701,processor-79945475-f9bzw,hyrox-worker,80,35
1789070707,processor-79945475-f9bzw,hyrox-worker,414,35
1789070714,processor-79945475-f9bzw,hyrox-worker,414,35
1789070720,processor-79945475-7t5fw,hyrox-worker2,690,35
1789070720,processor-79945475-f9bzw,hyrox-worker,265,35
1789070726,processor-79945475-7t5fw,hyrox-worker2,690,35
1789070726,processor-79945475-f9bzw,hyrox-worker,265,35
1789070732,processor-79945475-7t5fw,hyrox-worker2,690,35
1789070732,processor-79945475-f9bzw,hyrox-worker,265,35
1789070738,processor-79945475-7t5fw,hyrox-worker2,554,35
1789070738,processor-79945475-f9bzw,hyrox-worker,231,35
1789070745,processor-79945475-7t5fw,hyrox-worker2,554,35
1789070745,processor-79945475-f9bzw,hyrox-worker,231,35
1789070751,processor-79945475-7t5fw,hyrox-worker2,514,35
1789070751,processor-79945475-f9bzw,hyrox-worker,195,35
1789070751,processor-79945475-pcdsp,hyrox-worker,284,35
1789070751,processor-79945475-ptbms,hyrox-worker2,432,35
1789070757,processor-79945475-7t5fw,hyrox-worker2,514,35
1789070757,processor-79945475-f9bzw,hyrox-worker,195,35
1789070757,processor-79945475-pcdsp,hyrox-worker,284,35
1789070757,processor-79945475-ptbms,hyrox-worker2,432,35
1789070763,processor-79945475-7t5fw,hyrox-worker2,514,35
1789070763,processor-79945475-f9bzw,hyrox-worker,195,35
1789070763,processor-79945475-pcdsp,hyrox-worker,284,35
1789070763,processor-79945475-ptbms,hyrox-worker2,432,35
1789070769,processor-79945475-7t5fw,hyrox-worker2,244,35
1789070769,processor-79945475-f9bzw,hyrox-worker,114,35
1789070769,processor-79945475-pcdsp,hyrox-worker,257,35
1789070769,processor-79945475-ptbms,hyrox-worker2,251,35
1789070774,processor-79945475-7t5fw,hyrox-worker2,244,35
1789070774,processor-79945475-f9bzw,hyrox-worker,114,35
1789070774,processor-79945475-pcdsp,hyrox-worker,257,35
1789070774,processor-79945475-ptbms,hyrox-worker2,251,35
1789070780,processor-79945475-7t5fw,hyrox-worker2,244,35
1789070780,processor-79945475-f9bzw,hyrox-worker,114,35
1789070780,processor-79945475-pcdsp,hyrox-worker,257,35
1789070780,processor-79945475-ptbms,hyrox-worker2,251,35
1789070785,processor-79945475-7t5fw,hyrox-worker2,281,35
1789070785,processor-79945475-f9bzw,hyrox-worker,146,35
1789070785,processor-79945475-pcdsp,hyrox-worker,119,35
1789070785,processor-79945475-ptbms,hyrox-worker2,305,35
1789070791,processor-79945475-7t5fw,hyrox-worker2,281,35
1789070791,processor-79945475-f9bzw,hyrox-worker,146,35
