ts,ready_replicas,keda_metric,cpu_pct
20:13:49,4,0,1
20:13:54,4,0,1
20:14:00,4,0,2
20:14:06,4,0,2
20:14:13,4,201124m,75
20:14:19,4,201124m,75
20:14:25,4,201124m,75
20:14:31,4,198952m,139
20:14:37,4,198952m,139
20:14:43,4,199863m,133
20:14:49,4,199863m,133
20:14:54,4,199863m,133
20:15:01,4,199086m,116
20:15:07,4,199086m,116
20:15:12,4,199086m,116
20:15:18,4,198108m,95
20:15:24,4,198108m,95
20:15:30,4,200706m,74
20:15:35,4,200706m,74
20:15:41,4,200706m,74
20:15:47,4,200413m,77
20:15:53,4,200413m,77
20:15:59,4,200413m,77
20:16:05,4,199387m,95
20:16:12,4,199387m,95
20:16:19,4,200861m,119
20:16:25,4,200861m,119
20:16:30,4,200861m,119
20:16:36,4,199429m,128
20:16:42,4,199429m,128
20:16:48,4,199429m,128
20:16:55,4,200669m,127
20:17:00,4,200669m,127
20:17:06,4,203222m,114
20:17:14,4,203222m,114
20:17:22,4,203222m,114
20:17:32,4,3794m,186
20:17:38,4,3794m,186
